rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
71	spotify:track:1rgnBhdG2JDFTbYkYRZAku	Tones And I	Dance Monkey	Elektra (NEK)	5	60	341	178223	1rgnBhdG2JDFTbYkYRZAku
72	spotify:track:2CBpRE0A922XhWLSI8AT9O	Bárbara Labres, MC WM	Hoje É Rave	Bárbara Labres Music	50	64	16	176562	2CBpRE0A922XhWLSI8AT9O
73	spotify:track:5yaXBGNko8lmFSOvKWo99j	Matheus & Kauan	Então Toma - Ao Vivo	Universal Music Ltda.	34	73	141	175802	5yaXBGNko8lmFSOvKWo99j
74	spotify:track:5PNvgiKSwMdjBsDsgFCFLX	Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion	Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix	Spinnin' Deep	12	71	148	173741	5PNvgiKSwMdjBsDsgFCFLX
75	spotify:track:3csAhPJlNeCDnvuTdT8RQw	Shevchenko e Elloco, MC Mari, MC 10G	Xereca de Mel	Tropa Produtora 81	57	68	60	168179	3csAhPJlNeCDnvuTdT8RQw
76	spotify:track:2V4Fx72svQRxrFvNT1eq5f	K/DA, (G)I-DLE, Wolftyla, Bea Miller, League of Legends	THE BADDEST	Riot Games	76	171	2	166329	2V4Fx72svQRxrFvNT1eq5f
77	spotify:track:7DmZMqXYgQ1oI3z3bGUEbi	GIULIA BE	(não) era amor	WM Brazil	40	62	144	163430	7DmZMqXYgQ1oI3z3bGUEbi
78	spotify:track:5OzvtpasMB3aPWpfVr0PsA	Luíza & Maurílio	Pode Sumir	Som Livre	66	77	92	163217	5OzvtpasMB3aPWpfVr0PsA
79	spotify:track:7ytR5pFWmSjzHJIeQkgog4	DaBaby, Roddy Ricch	ROCKSTAR (feat. Roddy Ricch)	South Coast Music Group/Interscope Records	55	67	112	161185	7ytR5pFWmSjzHJIeQkgog4
80	spotify:track:1xQ6trAsedVPCdbtDAmk0c	Jawsh 685, Jason Derulo	Savage Love (Laxed - Siren Beat)	Columbia	61	72	68	158058	1xQ6trAsedVPCdbtDAmk0c
81	spotify:track:7eJMfftS33KTjuF7lTsMCx	Powfu, beabadoobee	death bed (coffee for your head)	Columbia	13	66	173	155686	7eJMfftS33KTjuF7lTsMCx
82	spotify:track:0h5iRD8nlDtcn4rwbZzNgg	MC Kevinho	Te gusta	WM Brazil	60	79	84	153188	0h5iRD8nlDtcn4rwbZzNgg
83	spotify:track:3i0uu4DEpcmEAudChpVDBh	Katy Perry	Teary Eyes	Capitol Records	83	-1	1	151718	3i0uu4DEpcmEAudChpVDBh
84	spotify:track:2F20djOXWDSFEXu3tPdV71	Katy Perry	Not the End of the World	Capitol Records	84	-1	1	151313	2F20djOXWDSFEXu3tPdV71
85	spotify:track:7J3QMuDCSv56jRSiD9jFBF	Eric Land, Xand Avião	Cidade Inteira	Eric Land	79	89	55	149738	7J3QMuDCSv56jRSiD9jFBF
86	spotify:track:1fWITNjgwmKEonjikQUaa1	MC Kevinho	Avançada	WM Brazil	72	81	17	149042	1fWITNjgwmKEonjikQUaa1
87	spotify:track:7A80qvCqnAXMURfZsaPOcT	Marília Mendonça, Maiara & Maraisa	Você Nem É Tudo Isso	Som Livre	57	107	22	147369	7A80qvCqnAXMURfZsaPOcT
88	spotify:track:017PF4Q3l4DBUiWoXk4OWT	Dua Lipa	Break My Heart	Warner Records	8	76	156	146172	017PF4Q3l4DBUiWoXk4OWT
89	spotify:track:2uhBCMHwS3SATOHIgM2KPF	Zé Neto & Cristiano	Textão - Ao Vivo	Som Livre	44	91	183	145197	2uhBCMHwS3SATOHIgM2KPF
90	spotify:track:5n8Y78Pl5q8lqS7sJP61qw	Diego & Arnaldo	Relógio Parado (Ao Vivo)	Sony Music Entertainment	32	96	317	145058	5n8Y78Pl5q8lqS7sJP61qw
91	spotify:track:4lKuzrdZrJuCAedbIslF3A	PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro	SENTADÃO	WM Brazil	2	83	281	144523	4lKuzrdZrJuCAedbIslF3A
92	spotify:track:3tu0GkIZwwkmILoD4HemBq	Raí Saia Rodada	Bebe e Vem Me Procurar	Som Livre	36	84	441	143775	3tu0GkIZwwkmILoD4HemBq
93	spotify:track:1CBjYXLotHrkiykMbI7EaU	BIN, Mainstreet, Mãolee	Marília Mendonça	Mainstreet Records	93	114	25	142692	1CBjYXLotHrkiykMbI7EaU
94	spotify:track:2PqPSf3gtTED79rWGwVtYg	Diego & Victor Hugo	Áudio - Ao Vivo em Brasília	Sony Music Entertainment	23	98	413	141635	2PqPSf3gtTED79rWGwVtYg
95	spotify:track:7qEHsqek33rTcFNT9PFqLf	Lewis Capaldi	Someone You Loved	Vertigo Berlin	54	75	366	140032	7qEHsqek33rTcFNT9PFqLf
96	spotify:track:17Ryox5vWKp92IDW87C5PI	Gusttavo Lima	Quem Traiu Levou - Ao Vivo	Sony Music Entertainment	14	104	352	140000	17Ryox5vWKp92IDW87C5PI
97	spotify:track:22rcaYTa2UgcLCbeO0NoNj	Priscilla Alcantara, Whindersson Nunes	Girassol	Sony Music Entertainment	5	78	261	139075	22rcaYTa2UgcLCbeO0NoNj
98	spotify:track:3JZwQT1rIxU3wdtF7eneee	WC no Beat, LUDMILLA, Vitão	SEM LIMITES	Sony Music Entertainment	47	74	85	138777	3JZwQT1rIxU3wdtF7eneee
99	spotify:track:5J4tK2FbXQEeC0AsfFgwpz	Yasmin Santos	Cuidado Que Eu Te Supero	Sony Music Entertainment	99	-1	15	138287	5J4tK2FbXQEeC0AsfFgwpz
100	spotify:track:5fY9bVl1Wj4PIM3wnduWop	Marília Mendonça	Serenata - Ao Vivo	Som Livre	14	92	470	137517	5fY9bVl1Wj4PIM3wnduWop
101	spotify:track:367wyLNqQMr5e8S2E6Zvpp	Katy Perry	Daisies	Capitol Records	46	-1	7	137042	367wyLNqQMr5e8S2E6Zvpp
102	spotify:track:59s3aMqR9uOzLIXAcgBCEm	Katy Perry	Smile	Capitol Records	55	-1	3	135980	59s3aMqR9uOzLIXAcgBCEm
