,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
35,36,spotify:track:1uryupl9hqVZYurJwH4G9k,Guilherme & Benuto,3 Batidas - Ao Vivo,Sony Music Entertainment,8,39,321,248040,1uryupl9hqVZYurJwH4G9k,0.0,0.083,0.856,0.061
36,37,spotify:track:2ptHQBO7TQhEkXOeK9ST59,"Grupo Menos É Mais, Di Propósito, Vou Zuar",Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,Som Livre,31,33,38,248022,2ptHQBO7TQhEkXOeK9ST59,0.0,0.0,1.0,0.0
37,38,spotify:track:5PNvgiKSwMdjBsDsgFCFLX,"Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion",Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix,Spinnin' Deep,12,27,99,246202,5PNvgiKSwMdjBsDsgFCFLX,0.863,0.054,0.872,0.074
38,39,spotify:track:3vAn0qZzdyuHamcrpkfiX3,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,4,28,15,242759,3vAn0qZzdyuHamcrpkfiX3,0.9938,0.016,0.85,0.134
39,40,spotify:track:3056x1XkmICnQmji68rrft,"Murilo Huff, Henrique & Juliano",Desejando Eu (Ao Vivo),Artinvox,40,51,50,240953,3056x1XkmICnQmji68rrft,0.0,0.0,1.0,0.0
40,41,spotify:track:4x8XaoLvpo6kd51PZD16RK,"Dilsinho, Henrique & Juliano",Sogra - Ao Vivo,Sony Music Entertainment,36,41,33,239281,4x8XaoLvpo6kd51PZD16RK,0.0,0.0,1.0,0.0
41,42,spotify:track:5L8ZEyIdZ2KE4Wf51SsuOF,Gustavo Mioto,Com Ou Sem Mim - Ao Vivo,Universal Music Ltda.,5,36,232,237684,5L8ZEyIdZ2KE4Wf51SsuOF,0.8541,0.0,0.963,0.037
42,43,spotify:track:260n4ECk9j4IEvTAVBYojl,Matheus & Kauan,Nem Doeu - Ao Vivo,Universal Music Ltda.,39,44,43,237182,260n4ECk9j4IEvTAVBYojl,-0.5267,0.015,0.985,0.0
43,44,spotify:track:7eJMfftS33KTjuF7lTsMCx,"Powfu, beabadoobee",death bed (coffee for your head),Columbia,13,30,124,233847,7eJMfftS33KTjuF7lTsMCx,0.9925,0.033,0.859,0.108
44,45,spotify:track:2MOq63fxuFLYQM3CsDcFs1,GIULIA BE,menina solta,WM Brazil,10,42,277,225929,2MOq63fxuFLYQM3CsDcFs1,0.2244,0.015,0.973,0.013
45,46,spotify:track:3GmJxfnUDrIs1iCfKUELFz,Marília Mendonça,Supera - Ao Vivo,Som Livre,1,43,330,224189,3GmJxfnUDrIs1iCfKUELFz,0.8402,0.0,0.964,0.036
46,47,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),5,38,292,222317,1rgnBhdG2JDFTbYkYRZAku,0.0387,0.023,0.946,0.03
47,48,spotify:track:1Nmcs8zk7LfcvHRgLtTM5J,"Orochi, Papatinho",Amor de Fim de Noite,Mainstreet Records,26,48,237,216455,1Nmcs8zk7LfcvHRgLtTM5J,0.9948,0.004,0.908,0.088
48,49,spotify:track:0DWUfq7vSAArkz82XHnuGm,"WC no Beat, LUDMILLA, Vitão",SEM LIMITES,Sony Music Entertainment,47,47,36,208649,0DWUfq7vSAArkz82XHnuGm,-0.6472,0.03,0.955,0.015
49,50,spotify:track:6nI98wtHOJAYSASq22TCYu,Luan Santana,água com açúcar - ao vivo,Som Livre,3,45,117,207657,6nI98wtHOJAYSASq22TCYu,0.9809,0.018,0.859,0.123
50,51,spotify:track:2Ou6UYuUbNyqwXxRDSeFRf,Maiara & Maraisa,Aí Eu Bebo - Ao Vivo,Som Livre,13,54,267,206823,2Ou6UYuUbNyqwXxRDSeFRf,0.0,0.0,1.0,0.0
51,52,spotify:track:4p8pEdPYOQLzJUKYrLOacy,"WC no Beat, PEDRO SAMPAIO, FP do Trem Bala",BALANÇA (feat. Pedro Sampaio),Sony Music Entertainment,8,50,162,205929,4p8pEdPYOQLzJUKYrLOacy,-0.5803,0.018,0.982,0.0
52,53,spotify:track:3oqC4Ta40ft6NnTJwcUTdi,"Rashid, Lukinhas, Emicida",Pipa Voada (feat. Emicida),Sony Music Entertainment,39,52,125,200885,3oqC4Ta40ft6NnTJwcUTdi,0.0,0.0,1.0,0.0
53,54,spotify:track:466cKvZn1j45IpxDdYZqdA,Drake,Toosie Slide,OVO,23,46,99,198863,466cKvZn1j45IpxDdYZqdA,-0.4516,0.115,0.764,0.121
54,55,spotify:track:3DXdjHnePKnh6oXw2ZgGSl,Katy Perry,Smile,Capitol Records,55,-1,1,192176,3DXdjHnePKnh6oXw2ZgGSl,0.9996,0.052,0.546,0.402
55,56,spotify:track:6jcGoHrqfRW6fI2I6xtwBQ,MC Marks,Deus é por nós,WM Brazil,53,53,26,191506,6jcGoHrqfRW6fI2I6xtwBQ,-0.5267,0.01,0.99,0.0
56,57,spotify:track:7ju97lgwC2rKQ6wwsf9no9,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),Interscope,1,49,50,190924,7ju97lgwC2rKQ6wwsf9no9,0.9986,0.037,0.867,0.095
57,58,spotify:track:1GWUiFYLYEapxYHnASyOud,Wesley Safadão,Não Valeu,Som Livre,36,60,57,189584,1GWUiFYLYEapxYHnASyOud,-0.9905,0.126,0.874,0.0
58,59,spotify:track:2Q9TaUXNM4mNSCgJjbmsJe,Zé Neto & Cristiano,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Som Livre,4,58,225,187633,2Q9TaUXNM4mNSCgJjbmsJe,0.0,0.0,1.0,0.0
59,60,spotify:track:4lKuzrdZrJuCAedbIslF3A,"PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",SENTADÃO,WM Brazil,2,56,232,184328,4lKuzrdZrJuCAedbIslF3A,0.5696,0.06,0.867,0.073
60,61,spotify:track:2PqPSf3gtTED79rWGwVtYg,Diego & Victor Hugo,Áudio - Ao Vivo em Brasília,Sony Music Entertainment,23,57,364,183857,2PqPSf3gtTED79rWGwVtYg,0.0,0.0,1.0,0.0
61,62,spotify:track:15kdyHRNcHSCTRjvHvmqrs,"LUDMILLA, DJ Will22",Cobra Venenosa (feat. DJ Will22),WM Brazil,37,62,8,178136,15kdyHRNcHSCTRjvHvmqrs,-0.784,0.063,0.914,0.023
62,63,spotify:track:48CAeajgzcGJaVUSsXd7h0,"Guilherme & Benuto, Israel & Rodolffo",Declaração pro Bar - Ao Vivo,Sony Music Entertainment,50,64,146,178073,48CAeajgzcGJaVUSsXd7h0,0.6124,0.0,0.977,0.023
63,64,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,8,55,107,177038,017PF4Q3l4DBUiWoXk4OWT,0.9992,0.065,0.698,0.236
64,65,spotify:track:59CnMc5PR9GdDFEVOpHSg9,"Dj W-Beatz, Ventura, Mc Rennan, MC Bruna Alves, MC BN, MC Rick","Rave do Papa - Deluxe (feat. Mc Rennan, MC Bruna Alves, MC BN & MC Rick) - Remix",Tratto Entretenimentos,59,61,29,171098,59CnMc5PR9GdDFEVOpHSg9,0.0,0.0,1.0,0.0
65,66,spotify:track:5yaXBGNko8lmFSOvKWo99j,Matheus & Kauan,Então Toma - Ao Vivo,Universal Music Ltda.,34,63,92,169953,5yaXBGNko8lmFSOvKWo99j,0.0,0.0,1.0,0.0
66,67,spotify:track:7ytR5pFWmSjzHJIeQkgog4,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),South Coast Music Group/Interscope Records,55,59,63,164640,7ytR5pFWmSjzHJIeQkgog4,-0.7983,0.088,0.861,0.051
67,68,spotify:track:5fY9bVl1Wj4PIM3wnduWop,Marília Mendonça,Serenata - Ao Vivo,Som Livre,14,66,421,157258,5fY9bVl1Wj4PIM3wnduWop,0.0,0.0,1.0,0.0
68,69,spotify:track:5n8Y78Pl5q8lqS7sJP61qw,Diego & Arnaldo,Relógio Parado (Ao Vivo),Sony Music Entertainment,32,68,268,151614,5n8Y78Pl5q8lqS7sJP61qw,0.0,0.0,1.0,0.0
69,70,spotify:track:13Rf6RaZT13TW4xLQR3MQr,"Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter",Poesia Acústica #6: Era uma Vez,Pineapple StormTV,14,77,563,149544,13Rf6RaZT13TW4xLQR3MQr,-0.9606,0.033,0.948,0.018
70,71,spotify:track:0h5iRD8nlDtcn4rwbZzNgg,MC Kevinho,Te gusta,WM Brazil,60,67,35,149354,0h5iRD8nlDtcn4rwbZzNgg,0.0,0.0,1.0,0.0
71,72,spotify:track:1xQ6trAsedVPCdbtDAmk0c,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),Columbia,62,65,19,149055,1xQ6trAsedVPCdbtDAmk0c,0.9954,0.165,0.583,0.252
72,73,spotify:track:3dPvQLKl42dMYWV4LWRTLK,Os Barões Da Pisadinha,Tá Rocheda,Sony Music Entertainment,52,69,136,146491,3dPvQLKl42dMYWV4LWRTLK,-0.7959,0.036,0.964,0.0
73,74,spotify:track:63SHcJzckFykS8faA5zojY,"MC Ingryd, DJ Henrique da VK",Vem Me Satisfazer,MC Ingryd,4,73,220,146472,63SHcJzckFykS8faA5zojY,-0.9718,0.066,0.934,0.0
74,75,spotify:track:71FrGl0XcpL3VId65tB5mg,Os Barões Da Pisadinha,Recairei - Ao Vivo,Sony Music Entertainment,68,94,58,146328,71FrGl0XcpL3VId65tB5mg,0.8555,0.0,0.898,0.102
75,76,spotify:track:2uhBCMHwS3SATOHIgM2KPF,Zé Neto & Cristiano,Textão - Ao Vivo,Som Livre,44,74,134,143281,2uhBCMHwS3SATOHIgM2KPF,0.0,0.0,1.0,0.0
76,77,spotify:track:17Ryox5vWKp92IDW87C5PI,Gusttavo Lima,Quem Traiu Levou - Ao Vivo,Sony Music Entertainment,14,76,303,141588,17Ryox5vWKp92IDW87C5PI,-0.1531,0.025,0.96,0.015
77,78,spotify:track:7DmZMqXYgQ1oI3z3bGUEbi,GIULIA BE,(não) era amor,WM Brazil,40,72,95,140551,7DmZMqXYgQ1oI3z3bGUEbi,0.9964,0.0,0.848,0.152
78,79,spotify:track:5JKaHAt4atuNoLqpyDgbyK,"Pineapple StormTv, Froid, Xamã, Dk 47, Chris MC, Cynthia Luz, Luccas Carlos, Hunter",Poesia Acústica - Paris,Pineapple StormTV,68,83,113,140176,5JKaHAt4atuNoLqpyDgbyK,0.9917,0.006,0.947,0.047
79,80,spotify:track:3ZROq16fQ1o2dWEGkHPHkJ,"Yasmin Santos, Wesley Safadão",Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo,Sony Music Entertainment,30,71,298,134261,3ZROq16fQ1o2dWEGkHPHkJ,0.0,0.0,1.0,0.0
80,81,spotify:track:7ArNH109yIfwIquJ535fsi,"Marcos & Belutti, Gaab",Certo e Duvidoso (feat. Gaab) - Ao Vivo,Sony Music Entertainment,55,78,164,134056,7ArNH109yIfwIquJ535fsi,0.9776,0.0,0.936,0.064
81,82,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,54,70,317,133766,7qEHsqek33rTcFNT9PFqLf,0.0,0.0,1.0,0.0
82,83,spotify:track:2TR917wkDeRvwTE5cSfZFf,"Humberto & Ronaldo, Matheus & Kauan",Tchau Brigado - Ao Vivo,Humberto e Ronaldo,46,87,191,130680,2TR917wkDeRvwTE5cSfZFf,0.0,0.0,1.0,0.0
83,84,spotify:track:4nsXVD1xw3BRMFUWx5gQRe,Di Propósito,Manda Áudio,Sony Music Entertainment,79,79,19,128752,4nsXVD1xw3BRMFUWx5gQRe,0.7564,0.02,0.943,0.037
84,85,spotify:track:5STHFaWYO1KeyITjvB4hR8,Marília Mendonça,Tentativas,Som Livre,20,96,148,126205,5STHFaWYO1KeyITjvB4hR8,0.9581,0.018,0.901,0.081
85,86,spotify:track:2rRA0VNb8RcaUMAmgWFoCL,"Yasmin Santos, Marília Mendonça",Para Pensa e Volta (feat. Marília Mendonça) - Ao Vivo,Sony Music Entertainment,19,88,379,125481,2rRA0VNb8RcaUMAmgWFoCL,0.0,0.0,1.0,0.0
86,87,spotify:track:3HXLUh9lzSrSLvrvLk2LjC,Henrique & Juliano,Se Eu Fosse Você - Ao Vivo,Virgin Music Label And Artist Services (S&D),61,81,160,124000,3HXLUh9lzSrSLvrvLk2LjC,0.0,0.0,1.0,0.0
87,88,spotify:track:7qpXCkcr3Zj4LDvdiWryns,Diego & Victor Hugo,Erro Antigo - Ao Vivo,Sony Music Entertainment,53,90,169,123655,7qpXCkcr3Zj4LDvdiWryns,0.0,0.0,1.0,0.0
88,89,spotify:track:62aP9fBQKYKxi7PDXwcUAS,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),Astralwerks,65,75,61,123612,62aP9fBQKYKxi7PDXwcUAS,0.9784,0.079,0.78,0.141
89,90,spotify:track:5OzvtpasMB3aPWpfVr0PsA,Luíza & Maurílio,Pode Sumir,Som Livre,83,93,43,122749,5OzvtpasMB3aPWpfVr0PsA,-0.9999,0.021,0.974,0.005
90,91,spotify:track:1AfNdxHdE4OLcnQUyC6j3i,"MC JottaPê, MC Kekel, MC Kevinho",Eterna Sacanagem,KondZilla Records,19,80,267,122715,1AfNdxHdE4OLcnQUyC6j3i,0.9832,0.008,0.919,0.073
91,92,spotify:track:5MArTXEVyKBwoodjdy04fk,"Zé Felipe, Gusttavo Lima",Tiro Certo - Ao Vivo,Som Livre,14,107,393,118807,5MArTXEVyKBwoodjdy04fk,0.9081,0.0,0.954,0.046
92,93,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,1,95,414,117976,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
93,94,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,2,82,386,117678,6v3KW9xbzN5yKLt9YKDYA2,0.9988,0.033,0.724,0.244
94,95,spotify:track:7Gk5OrMYaMRtT2JmgJVAfk,"ANAVITÓRIA, Vitor Kley",Pupila,Universal Music Ltda.,14,85,372,116466,7Gk5OrMYaMRtT2JmgJVAfk,-0.5349,0.007,0.993,0.0
95,96,spotify:track:5U28PY9MekLyCBYtLHGQpe,Melim,Meu Abrigo,Universal Music Ltda.,1,84,778,115638,5U28PY9MekLyCBYtLHGQpe,0.9022,0.04,0.886,0.074
96,97,spotify:track:22rcaYTa2UgcLCbeO0NoNj,"Priscilla Alcantara, Whindersson Nunes",Girassol,Sony Music Entertainment,5,86,212,115486,22rcaYTa2UgcLCbeO0NoNj,0.0,0.0,1.0,0.0
97,98,spotify:track:72xB2J9ZeBl0Rzxq2XmzdY,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,2,109,614,114382,72xB2J9ZeBl0Rzxq2XmzdY,0.0,0.0,1.0,0.0
98,99,spotify:track:7vpGKEUPrA4UEsS4o4W1tP,Pabllo Vittar,Amor de Que,Sony Music Entertainment,10,98,253,113540,7vpGKEUPrA4UEsS4o4W1tP,0.995,0.032,0.792,0.176
99,100,spotify:track:1MmS7UIy3J1BTxfGCRvVqN,Gusttavo Lima,Carreira Solo - Ao Vivo,Sony Music Entertainment,21,111,253,113072,1MmS7UIy3J1BTxfGCRvVqN,0.0,0.0,1.0,0.0
100,101,spotify:track:6hqJJY6rwAUS2zl9FsCQQH,Dilsinho,Deixa pra Amanhã - Ao Vivo,Sony Music Entertainment,53,101,74,112836,6hqJJY6rwAUS2zl9FsCQQH,0.4215,0.016,0.956,0.028
101,102,spotify:track:4jGzR5Vri06Y5T9SxM7m5P,"Xand Avião, Gusttavo Lima",Algo Mais (Amante) - Ao Vivo,Som Livre,10,112,423,112714,4jGzR5Vri06Y5T9SxM7m5P,-0.9688,0.018,0.981,0.001
102,103,spotify:track:3VQF7gLCASQQ3lQkOnFBhz,"Mila, MC JottaPê",O Amor Que Tu Perdeu,KondZilla,61,106,77,111766,3VQF7gLCASQQ3lQkOnFBhz,0.5042,0.019,0.961,0.02
103,104,spotify:track:2RoWhAVtQrPU53BERYlmYZ,"Pineapple StormTv, Cesar Mc, Elana Dara, Kayuá, Froid, Cynthia Luz, MV Bill, Bob do Contra, Hunter, Projota",Poesia Acústica #8: Amor e Samba,Pineapple StormTV,35,145,190,111006,2RoWhAVtQrPU53BERYlmYZ,0.6476,0.0,0.977,0.023
104,105,spotify:track:3MkdA6vwF0ifRl86yzTlJW,Matuê,Kenny G,Sony Music Entertainment,5,104,310,109783,3MkdA6vwF0ifRl86yzTlJW,0.8732,0.048,0.888,0.064
105,106,spotify:track:3rfPuNpqMHQKXIPoEF5iFB,"João Gustavo e Murilo, Atitude 67",Qual é a do amor (feat. Atitude 67) - Ao vivo,WM Brazil,99,136,8,109426,3rfPuNpqMHQKXIPoEF5iFB,0.0,0.0,1.0,0.0
106,107,spotify:track:7McCAKExE8KsI2q4Y8wx4U,"Murilo Huff, Marília Mendonça",Dois Enganados,Artinvox,41,105,407,108950,7McCAKExE8KsI2q4Y8wx4U,0.8225,0.017,0.937,0.046
107,108,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Epic/Grand Hustle,32,100,131,107923,6gBFPUFcJLzWGx4lenP6h2,0.0,0.0,1.0,0.0
108,109,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,"KAROL G, Nicki Minaj",Tusa,TUSA - Karol G & Nicki Minaj,38,99,189,107559,7k4t7uLgtOxPwTpFmtJNTY,-0.8339,0.053,0.908,0.04
109,110,spotify:track:5RqR4ZCCKJDcBLIn4sih9l,StaySolidRocky,Party Girl,Columbia,83,91,35,107268,5RqR4ZCCKJDcBLIn4sih9l,0.9989,0.069,0.661,0.27
110,111,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,Atlantic Records,26,89,182,107101,0nbXyq5TXYPCO7pr3N8S4I,-0.9883,0.118,0.814,0.068
111,112,spotify:track:7CHi4DtfK4heMlQaudCuHK,"MEDUZA, Becky Hill, Goodboys",Lose Control,Virgin,53,97,218,105888,7CHi4DtfK4heMlQaudCuHK,0.9626,0.137,0.714,0.149
112,113,spotify:track:5JsxHA8NttHWThpTCToK1J,"Salvador Da Rima, NOG, Mc Kevin, MC Ryan SP, Mc Lele JP",Vergonha pra Midia,RapRJ Music,113,142,32,105497,5JsxHA8NttHWThpTCToK1J,-0.9758,0.041,0.945,0.014
113,114,spotify:track:0v8OKUrqZGoEbgEUXScRSQ,"Alok, THRDL!FE",Hear Me Tonight,Columbia/B1 Recordings,55,110,73,105303,0v8OKUrqZGoEbgEUXScRSQ,0.9952,0.0,0.796,0.204
114,115,spotify:track:1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,Ferida Curada,Som Livre,4,124,358,104699,1U3tv41tFRgOfbytpuYQrR,0.9682,0.0,0.91,0.09
