rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
133	spotify:track:5rNNZ6fVYxkhwqUfImVhU1	IZA	Brisa	WM Brazil	36	122	316	122341	5rNNZ6fVYxkhwqUfImVhU1
134	spotify:track:24YUl9cgjcEvgJTr2WIT1q	Diego & Arnaldo	Casos Pendentes - Acústico	Sony Music Entertainment	65	159	86	120649	24YUl9cgjcEvgJTr2WIT1q
135	spotify:track:5cN5ZOVcYBl4Lnq50Zeqsx	Matheus & Kauan, Gusttavo Lima	Mágica - Live	Universal Music Ltda.	35	149	345	120113	5cN5ZOVcYBl4Lnq50Zeqsx
136	spotify:track:5J6b8IqTDgrEfQj4YanxLI	Henrique & Juliano	Sem Rede - Ao Vivo	Virgin Music Label And Artist Services (S&D)	88	140	72	119984	5J6b8IqTDgrEfQj4YanxLI
137	spotify:track:7N0Py2msno86enR6JPNlpV	Turma do Pagode	Muito Cedo	Sony Music Entertainment	137	147	22	118370	7N0Py2msno86enR6JPNlpV
138	spotify:track:1qy7aOHnfnOMJoT1fhoLYG	Marília Mendonça, Gaab	Intenção - Ao Vivo	Som Livre	54	134	198	118059	1qy7aOHnfnOMJoT1fhoLYG
139	spotify:track:7D5F5BzIon5zhzQrOU2pdN	Marília Mendonça	Ciumeira - Ao Vivo	Som Livre	1	156	555	117241	7D5F5BzIon5zhzQrOU2pdN
140	spotify:track:6Diq6oBnDVzsrNcRllXRbM	Mc Leozin	Maldita de Ex	A2M Produtora	59	145	197	116206	6Diq6oBnDVzsrNcRllXRbM
141	spotify:track:3jjujdWJ72nww5eGnfs2E7	Harry Styles	Adore You	Columbia	49	116	83	114751	3jjujdWJ72nww5eGnfs2E7
142	spotify:track:3tu0GkIZwwkmILoD4HemBq	Raí Saia Rodada	Bebe e Vem Me Procurar	Som Livre	36	158	261	114626	3tu0GkIZwwkmILoD4HemBq
143	spotify:track:2b8fOow8UzyDFAE27YhOZM	Maroon 5	Memories	Interscope Records*	78	120	139	113265	2b8fOow8UzyDFAE27YhOZM
144	spotify:track:5aayWOEE7u7bxZ3r7dwIrX	IZA	Meu talismã	WM Brazil	78	123	163	111152	5aayWOEE7u7bxZ3r7dwIrX
145	spotify:track:3fLqmaO4vvZpFZSZy52VMp	Lagum, Ana Gabriela	Deixa (feat. Ana Gabriela)	Sony Music Entertainment	20	118	632	110791	3fLqmaO4vvZpFZSZy52VMp
146	spotify:track:1DFD5Fotzgn6yYXkYsKiGs	MEDUZA, Goodboys	Piece Of Your Heart	Virgin	55	144	280	110777	1DFD5Fotzgn6yYXkYsKiGs
147	spotify:track:69Si1G3kLuCQLqQF1EbL25	MC Kevin o Chris, Ferrugem	Romance Proibido - Ao Vivo	Som Livre	86	168	72	110068	69Si1G3kLuCQLqQF1EbL25
148	spotify:track:6hqQPoB1yYKcLfByfxO8he	Wesley Safadão, Zé Neto & Cristiano	Na Cama Que Eu Paguei - Ao Vivo	Som Livre	12	178	163	109763	6hqQPoB1yYKcLfByfxO8he
149	spotify:track:3tA0vALUwrzkTgHcm9j6oJ	Zé Neto & Cristiano	Notificação Preferida - Ao Vivo	Som Livre	2	160	623	107772	3tA0vALUwrzkTgHcm9j6oJ
150	spotify:track:51Fjme0JiitpyXKuyQiCDo	Y2K, bbno$	Lalala	Columbia	7	146	190	106862	51Fjme0JiitpyXKuyQiCDo
151	spotify:track:5rwdmpN5eMWIIwK4R96vv1	Dynho Alves	Malemolência	GR6 Music	29	177	372	106596	5rwdmpN5eMWIIwK4R96vv1
152	spotify:track:4mtHXZBOBMrZSI6jp3X9WJ	Henrique & Diego	Espelho Meu - Ao Vivo	Sony Music Entertainment	42	184	401	106065	4mtHXZBOBMrZSI6jp3X9WJ
153	spotify:track:3HXLUh9lzSrSLvrvLk2LjC	Henrique & Juliano	Se Eu Fosse Você - Ao Vivo	Virgin Music Label And Artist Services (S&D)	83	162	30	106059	3HXLUh9lzSrSLvrvLk2LjC
154	spotify:track:01wavOnjFBNgdMWBFYIAP4	Sorriso Maroto, Dilsinho	50 Vezes - Ao Vivo	Sony Music Entertainment	35	163	275	106015	01wavOnjFBNgdMWBFYIAP4
155	spotify:track:5px6upUHM3fhOP621Edp4V	Dua Lipa	Physical	Warner Records	29	124	28	105973	5px6upUHM3fhOP621Edp4V
156	spotify:track:5EKHbW7mXcAR4hCyS3YXjb	Felipe Araújo, Ferrugem	Atrasadinha - Live	Universal Music Ltda.	1	175	527	105896	5EKHbW7mXcAR4hCyS3YXjb
157	spotify:track:0NRP5OIrTcgGvttJlSLO0n	Anitta, MC Cabelinho	Até o céu	WM Brazil	53	143	72	105427	0NRP5OIrTcgGvttJlSLO0n
158	spotify:track:1zI3RU0boCVsAXChjCvESu	Ferrugem	Até que enfim - Ao vivo	WM Brazil	46	166	225	105425	1zI3RU0boCVsAXChjCvESu
159	spotify:track:48CAeajgzcGJaVUSsXd7h0	Guilherme & Benuto, Israel & Rodolffo	Declaração pro Bar - Ao Vivo	Sony Music Entertainment	159	189	18	105338	48CAeajgzcGJaVUSsXd7h0
160	spotify:track:0h1mVA8gOPR71lxSeY67uT	PEDRO SAMPAIO	FICA À VONTADE	WM Brazil	96	179	198	104425	0h1mVA8gOPR71lxSeY67uT
161	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	103	-1	26	104212	3dPvQLKl42dMYWV4LWRTLK
162	spotify:track:3ZCTVFBt2Brf31RLEnCkWJ	Billie Eilish	everything i wanted	Darkroom/Interscope Records	50	126	106	103558	3ZCTVFBt2Brf31RLEnCkWJ
163	spotify:track:2wlmLlbjh2F6Skqo2bt3of	Henrique & Juliano	Conheço Meu Gado - Ao Vivo	Virgin Music Label And Artist Services (S&D)	51	171	37	103424	2wlmLlbjh2F6Skqo2bt3of
164	spotify:track:73SpzrcaHk0RQPFP73vqVR	Billie Eilish	No Time To Die	Darkroom/Interscope Records	50	128	16	101662	73SpzrcaHk0RQPFP73vqVR
165	spotify:track:5GHA824FwkHeBl5u1T6kLj	Hugo & Guilherme	Namorada Reserva - Ao Vivo	Som Livre	71	200	215	101041	5GHA824FwkHeBl5u1T6kLj
166	spotify:track:2FGhB10Gon36GgFcOTMQEW	Pineapple StormTv, MC Hariel, Negra Li, Ducon, MC Kevin o Chris, Chris MC, Matuê, Dk 47, Vitão, Salve Malak, Hunter	Poesia Acústica #7: Céu Azul	Pineapple StormTV	21	142	236	100644	2FGhB10Gon36GgFcOTMQEW
167	spotify:track:6i9ToXS6CAfjpp8veBklg1	Vitão	Café	Universal Music Ltda.	29	141	357	100373	6i9ToXS6CAfjpp8veBklg1
168	spotify:track:6iW38RGqdDGOofmz2HeXLW	MEDUZA, Alok, Goodboys	Piece Of Your Heart - Alok Remix	Virgin	102	169	250	100335	6iW38RGqdDGOofmz2HeXLW
169	spotify:track:0pqnGHJpmpxLKifKRmU6WP	Imagine Dragons	Believer	Kid Ina Korner / Interscope	30	153	1121	99326	0pqnGHJpmpxLKifKRmU6WP
170	spotify:track:4xwPOyN9VgaTPehdsLiYul	Melim	Dois Corações	Universal Music Ltda.	64	150	345	98842	4xwPOyN9VgaTPehdsLiYul
171	spotify:track:1gsWgGZvy4waIfWPuctvRU	Dj Gabriel do Borel, Anitta	Joga Sua Potranca	DJ Gabriel do Borel, ONErpm / Artista Gentilmente Cedido por Warner Music Brasil, uma empresa Warner	79	187	24	98496	1gsWgGZvy4waIfWPuctvRU
172	spotify:track:1nqaSoiLuqevDes4S18sO7	Gusttavo Lima	Milu	Gusttavo Lima	5	-1	238	97970	1nqaSoiLuqevDes4S18sO7
173	spotify:track:0H8CBal2Dcu5Yc001VotZN	IZA	Dona de mim	WM Brazil	23	155	514	97650	0H8CBal2Dcu5Yc001VotZN
174	spotify:track:6YjyT6MEMsMc41NNWk2dYg	Marília Mendonça, Maiara & Maraisa	Bebaça - Ao Vivo	Som Livre	5	-1	358	97049	6YjyT6MEMsMc41NNWk2dYg
175	spotify:track:2VxeLyX666F8uXCJ0dZF8B	Lady Gaga, Bradley Cooper	Shallow	A Star is Born OST	2	137	505	96687	2VxeLyX666F8uXCJ0dZF8B
176	spotify:track:2QyuXBcV1LJ2rq01KhreMF	BTS	ON	BIGHIT MUSIC	88	136	9	96028	2QyuXBcV1LJ2rq01KhreMF
