Position	TrackName	Artist	Streams	URL	Id
121	Deixa Eu Falar pra Você	Josué Bom de Faixa	955838	https://open.spotify.com/track/0f1xsopmPwjGv5lJooglnD	0f1xsopmPwjGv5lJooglnD
122	INTERE$$EIRA	Luísa Sonza	950949	https://open.spotify.com/track/0Iw6WyxOrleibC0j0fRJmk	0Iw6WyxOrleibC0j0fRJmk
123	É Problema	Matheus & Kauan	946019	https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF	5gTgQBtNP08fUijxpEgmzF
124	Levitating (feat. DaBaby)	Dua Lipa	945932	https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF	5nujrmhLynf4yMoMtj8AQF
125	Os Menino da Pecuária	Léo & Raphael	945560	https://open.spotify.com/track/49QpcTWIP16YgGLmiPDvTI	49QpcTWIP16YgGLmiPDvTI
126	Ô Moça	MC Zaquin	935486	https://open.spotify.com/track/1mQOFRDoqI34LdN79PE0vH	1mQOFRDoqI34LdN79PE0vH
127	Fragrância - Remix	MD Chefe	932121	https://open.spotify.com/track/76E9YSvgci2hPaNFy3XZu1	76E9YSvgci2hPaNFy3XZu1
128	melhor sozinha :-)-:	Luísa Sonza	926718	https://open.spotify.com/track/0gpZ8zy9OAE98nNBVIxWvi	0gpZ8zy9OAE98nNBVIxWvi
129	Namorando Com Saudade	Jorge & Mateus	925015	https://open.spotify.com/track/6m84TzSTM5nbwZxIxkYHz6	6m84TzSTM5nbwZxIxkYHz6
130	Kiss Me More (feat. SZA)	Doja Cat	924486	https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz	3DarAbFujv6eYNliUTyqtz
131	Volume 3 - Ao Vivo	Douglas & Vinicius	912578	https://open.spotify.com/track/6dJJ9OlxyeXenDCgTGdsTR	6dJJ9OlxyeXenDCgTGdsTR
132	Até Falar Chega (feat. Matheus & Kauan) - Ao Vivo	Diego & Victor Hugo	906559	https://open.spotify.com/track/0uoNRN1bvHcsGrrTa44Mj7	0uoNRN1bvHcsGrrTa44Mj7
133	Estado Frágil - Ao Vivo	Marcos & Belutti	904948	https://open.spotify.com/track/6XSXOvojEslvbqBCh7IP8Z	6XSXOvojEslvbqBCh7IP8Z
134	Sua amiga deu	MC Levin	900019	https://open.spotify.com/track/142YjJNOuXjzeSDnB1ujw1	142YjJNOuXjzeSDnB1ujw1
135	Ele Não Tem	Jonas Esticado	898287	https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD	1JHvLQWHUoYuapwQikeDuD
136	Restrição Sentimental	Gustavo Mioto	897046	https://open.spotify.com/track/0I9R4mjZ0VFZAbuSe8tttV	0I9R4mjZ0VFZAbuSe8tttV
137	Melhor Que Muita Gente	Israel & Rodolffo	888648	https://open.spotify.com/track/2rFQnkqRVcpKkMj1oLPMyb	2rFQnkqRVcpKkMj1oLPMyb
138	Mtg Ta Brotando No Plantão Pra Tira Foto Com Revolver	Dj Wesley Gonzaga	881014	https://open.spotify.com/track/1pPuodu8A0LxAuVhf3QniW	1pPuodu8A0LxAuVhf3QniW
139	BONEKINHA	Gloria Groove	879630	https://open.spotify.com/track/79Djb1E319BwnYZ8cEA1mQ	79Djb1E319BwnYZ8cEA1mQ
140	Life Goes On	Oliver Tree	877448	https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC	0eu4C55hL6x29mmeAjytzC
141	Tô Sem Você	João Gomes	876926	https://open.spotify.com/track/1rFRjUkibxaMaUwGgKpfwe	1rFRjUkibxaMaUwGgKpfwe
142	Don't Start Now	Dua Lipa	876717	https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62	3PfIrDoz19wz7qK7tYeu62
143	Volta Por Baixo - Ao Vivo	Henrique & Juliano	874227	https://open.spotify.com/track/1MparvKC8QIDwu06iO3qVr	1MparvKC8QIDwu06iO3qVr
144	Briga Feia - Ao Vivo	Henrique & Juliano	873347	https://open.spotify.com/track/7bukHRNgGLRySTJEVvLoIR	7bukHRNgGLRySTJEVvLoIR
145	Lance Individual	Jorge & Mateus	864232	https://open.spotify.com/track/000RW47rhEkSqjgTrZx7YX	000RW47rhEkSqjgTrZx7YX
146	Revoada do Tubarão 2 (feat. Mc Davi, Mc PP da VS, Mc Pedrinho, Mc Dricka, Mc Lbx, Mc Kevin, Salvador Da Rima, Ferrugem, MC Kevinho, Gaab)	MC Ryan SP	862877	https://open.spotify.com/track/5Dcb2W1UpzVFQuyzxpqZaB	5Dcb2W1UpzVFQuyzxpqZaB
147	Deixa de Onda (Porra Nenhuma)	DENNIS	853481	https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY	0DlHQxrVijRqVUfuS6PKaY
148	MODO TURBO	Luísa Sonza	839186	https://open.spotify.com/track/2ip4hxYupn3CSsHjn4l2a8	2ip4hxYupn3CSsHjn4l2a8
149	Alô Ambev (Segue Sua Vida) - Ao Vivo	Zé Neto & Cristiano	839111	https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs	5m5aY6S9ttfIG157xli2Rs
150	Vixe Que Gostoso	Juliette	837128	https://open.spotify.com/track/2JMOMpspSaGua3VK2EFcGZ	2JMOMpspSaGua3VK2EFcGZ
151	Deboche	Mc Davi	825799	https://open.spotify.com/track/1ZW2jCyFX0WrZfIJjkWq3j	1ZW2jCyFX0WrZfIJjkWq3j
152	Resumindo - Ao Vivo	Diego & Arnaldo	803543	https://open.spotify.com/track/23s3h5dG3GMZ9oHjR9Eizm	23s3h5dG3GMZ9oHjR9Eizm
153	777-666	Matuê	800838	https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn	3sGcETRMuAgcPgjDpIkgMn
154	MULHER DO ANO XD	Luísa Sonza	799344	https://open.spotify.com/track/0s2SzCYqITp4lKdbxPQoYy	0s2SzCYqITp4lKdbxPQoYy
155	No Llores Más	Simone & Simaria	798445	https://open.spotify.com/track/0C3hl4giyPEnDQf2IlWpk2	0C3hl4giyPEnDQf2IlWpk2
156	Beijou Meia Cidade	Zé Neto & Cristiano	796552	https://open.spotify.com/track/4j1YtEBU47QOUapAXf5svl	4j1YtEBU47QOUapAXf5svl
157	Maçã Verde	MC Hariel	794827	https://open.spotify.com/track/7lJoRyuNJtuiqTcKtuMuIR	7lJoRyuNJtuiqTcKtuMuIR
158	Eu Tenho Medo	Zé Vaqueiro	792813	https://open.spotify.com/track/7yjduLSgPntFlq79Cuzrfz	7yjduLSgPntFlq79Cuzrfz
159	traitor	Olivia Rodrigo	790736	https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT	5CZ40GBx1sQ9agT82CLQCT
160	Cold Heart - PNAU Remix	Elton John	782000	https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz	6zSpb8dQRaw0M1dK8PBwQz
161	Recairei - Ao Vivo	Os Barões Da Pisadinha	781902	https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP	2JTir3y1VuJQmexiTCMcTP
162	positions	Ariana Grande	779289	https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0	35mvY5S1H3J2QZyna3TFe0
163	Máquina do Tempo	Matuê	777445	https://open.spotify.com/track/5oI9blwsXC8AkTWw6wASY8	5oI9blwsXC8AkTWw6wASY8
164	Eu Rebolo Sim	Mc Branquinha	773391	https://open.spotify.com/track/1uP6LzGFVwX2h2D39mOglz	1uP6LzGFVwX2h2D39mOglz
165	The Business	Tiësto	767937	https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN	6f3Slt0GbA2bPZlz0aIFXN
166	Giro dos Artistas	Mc Bruninho da Praia	766804	https://open.spotify.com/track/0Pjd5h1ZOSyhSwZrDeCIXg	0Pjd5h1ZOSyhSwZrDeCIXg
167	FALA MAL DE MIM	PEDRO SAMPAIO	763896	https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM	5glMxRMRHGBRj6bydBjoPM
168	Poesia Acústica #9: Melhor Forma	Pineapple StormTv	762375	https://open.spotify.com/track/2fmeSswdyVq4wcqhY41UHk	2fmeSswdyVq4wcqhY41UHk
169	Só de Sacanagem - Ao Vivo	Israel & Rodolffo	761612	https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP	40zJaB3z53PGaxIkYyieBP
170	Heat Waves	Glass Animals	760825	https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx	02MWAaffLxlfxAUY7c5dvx
171	Don't Say Goodbye (feat. Tove Lo)	Alok	756338	https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq	0GTPmh5G40joBg93vcSQNq
172	Saturno	BIN	753624	https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX	68cPbG7hJnwDW9nPX1uQcX
173	Leave The Door Open	Bruno Mars	749143	https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh	7MAibcTli4IisCtbHKrGMh
174	Vou Falar Que Não Quero - Remix	DJ Lucas Beat	747775	https://open.spotify.com/track/0YluTOlBctnpHPABgFSXEw	0YluTOlBctnpHPABgFSXEw
