rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
145	spotify:track:4pnlRYoaaGu24SuC3et5Pv	Yasmin Santos, Wesley Safadão	Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo	Sony Music Entertainment	64	143	183	101998	4pnlRYoaaGu24SuC3et5Pv
146	spotify:track:3tA0vALUwrzkTgHcm9j6oJ	Zé Neto & Cristiano	Notificação Preferida - Ao Vivo	Som Livre	2	148	638	101816	3tA0vALUwrzkTgHcm9j6oJ
147	spotify:track:0DwzQguiWvB8jJonQ5ewJu	MC Lya, MC Henny, Dj GM	Virgem	LoveFunk	147	151	17	101774	0DwzQguiWvB8jJonQ5ewJu
148	spotify:track:2b8fOow8UzyDFAE27YhOZM	Maroon 5	Memories	Interscope Records*	78	146	154	99009	2b8fOow8UzyDFAE27YhOZM
149	spotify:track:5EKHbW7mXcAR4hCyS3YXjb	Felipe Araújo, Ferrugem	Atrasadinha - Live	Universal Music Ltda.	1	155	536	97618	5EKHbW7mXcAR4hCyS3YXjb
150	spotify:track:5rwdmpN5eMWIIwK4R96vv1	Dynho Alves	Malemolência	GR6 Music	29	159	385	97454	5rwdmpN5eMWIIwK4R96vv1
151	spotify:track:0hVXuCcriWRGvwMV1r5Yn9	Ed Sheeran, Justin Bieber	I Don't Care (with Justin Bieber)	Atlantic Records UK	2	138	311	97072	0hVXuCcriWRGvwMV1r5Yn9
152	spotify:track:3HXLUh9lzSrSLvrvLk2LjC	Henrique & Juliano	Se Eu Fosse Você - Ao Vivo	Virgin Music Label And Artist Services (S&D)	83	150	45	96419	3HXLUh9lzSrSLvrvLk2LjC
153	spotify:track:6hqQPoB1yYKcLfByfxO8he	Wesley Safadão, Zé Neto & Cristiano	Na Cama Que Eu Paguei - Ao Vivo	Som Livre	12	158	175	95307	6hqQPoB1yYKcLfByfxO8he
154	spotify:track:0h1mVA8gOPR71lxSeY67uT	PEDRO SAMPAIO	FICA À VONTADE	WM Brazil	96	156	213	94499	0h1mVA8gOPR71lxSeY67uT
155	spotify:track:7eJMfftS33KTjuF7lTsMCx	Powfu, beabadoobee	death bed (coffee for your head)	Columbia	155	180	7	94278	7eJMfftS33KTjuF7lTsMCx
156	spotify:track:3jjujdWJ72nww5eGnfs2E7	Harry Styles	Adore You	Columbia	49	154	98	92518	3jjujdWJ72nww5eGnfs2E7
157	spotify:track:3fLqmaO4vvZpFZSZy52VMp	Lagum, Ana Gabriela	Deixa (feat. Ana Gabriela)	Sony Music Entertainment	20	157	647	92514	3fLqmaO4vvZpFZSZy52VMp
158	spotify:track:5aayWOEE7u7bxZ3r7dwIrX	IZA	Meu talismã	WM Brazil	78	153	178	91569	5aayWOEE7u7bxZ3r7dwIrX
159	spotify:track:4pl0csAczZemDLdyNYOmxT	Thiaguinho	A Fila Anda - Ao Vivo	Som Livre	159	162	42	91564	4pl0csAczZemDLdyNYOmxT
160	spotify:track:563yuGweEqRVQtjfsDVRyK	Sidoka, Intactoz Corp.	Não Me Sinto Mal Mais	Infame Company	74	164	115	90724	563yuGweEqRVQtjfsDVRyK
161	spotify:track:0abrd2vT2W3JZBDNezUY7r	Thiaguinho	Deixa Tudo Como Tá - Ao Vivo	Som Livre	77	165	153	90676	0abrd2vT2W3JZBDNezUY7r
162	spotify:track:3oqC4Ta40ft6NnTJwcUTdi	Rashid, Lukinhas, Emicida	Pipa Voada (feat. Emicida)	Sony Music Entertainment	122	152	8	90427	3oqC4Ta40ft6NnTJwcUTdi
163	spotify:track:0xnJMe159M24KsNWgTde3D	Zé Neto & Cristiano	Mais uma Dose de Você - Ao Vivo	Som Livre	112	149	3	89951	0xnJMe159M24KsNWgTde3D
164	spotify:track:2FGhB10Gon36GgFcOTMQEW	Pineapple StormTv, MC Hariel, Negra Li, Ducon, MC Kevin o Chris, Chris MC, Matuê, Dk 47, Vitão, Salve Malak, Hunter	Poesia Acústica #7: Céu Azul	Pineapple StormTV	21	169	251	88872	2FGhB10Gon36GgFcOTMQEW
165	spotify:track:1gsWgGZvy4waIfWPuctvRU	Dj Gabriel do Borel, Anitta	Joga Sua Potranca	DJ Gabriel do Borel, ONErpm / Artista Gentilmente Cedido por Warner Music Brasil, uma empresa Warner	79	166	36	88774	1gsWgGZvy4waIfWPuctvRU
166	spotify:track:1mXgYpwge3J5qFkRAHQFZ9	Camila Loures, MC WM	Bambolê	Camila Loures	166	167	5	88736	1mXgYpwge3J5qFkRAHQFZ9
167	spotify:track:51Fjme0JiitpyXKuyQiCDo	Y2K, bbno$	Lalala	Columbia	7	163	205	88489	51Fjme0JiitpyXKuyQiCDo
168	spotify:track:6YjyT6MEMsMc41NNWk2dYg	Marília Mendonça, Maiara & Maraisa	Bebaça - Ao Vivo	Som Livre	5	172	363	88249	6YjyT6MEMsMc41NNWk2dYg
169	spotify:track:0pqnGHJpmpxLKifKRmU6WP	Imagine Dragons	Believer	Kid Ina Korner / Interscope	30	171	1136	87689	0pqnGHJpmpxLKifKRmU6WP
170	spotify:track:00ikK805fq2xrYmlCsbTQi	Jey	Como É Que Vamos Fazer?	Digitalize/ Insetti Cultural	170	192	2	86978	00ikK805fq2xrYmlCsbTQi
171	spotify:track:5J6b8IqTDgrEfQj4YanxLI	Henrique & Juliano	Sem Rede - Ao Vivo	Virgin Music Label And Artist Services (S&D)	88	170	87	86819	5J6b8IqTDgrEfQj4YanxLI
172	spotify:track:11Y1IGMIThaxu4ijcXRNYs	Pixote	Nem de Graça	GR Shows	145	176	192	86777	11Y1IGMIThaxu4ijcXRNYs
173	spotify:track:3zlms1ixAlFQHyUzfpuzES	Laryssa Dias	Playlist Particular	Laryssa Dias	173	193	2	86767	3zlms1ixAlFQHyUzfpuzES
174	spotify:track:1DFD5Fotzgn6yYXkYsKiGs	MEDUZA, Goodboys	Piece Of Your Heart	Virgin	55	161	295	86701	1DFD5Fotzgn6yYXkYsKiGs
175	spotify:track:0IQCOAw9ZAI6WnXIrl481F	Mc Livinho, Rennan da Penha	Hoje Eu Vou Parar Na Gaiola	GR6 Music	4	181	475	86202	0IQCOAw9ZAI6WnXIrl481F
176	spotify:track:6i9ToXS6CAfjpp8veBklg1	Vitão	Café	Universal Music Ltda.	29	168	372	85382	6i9ToXS6CAfjpp8veBklg1
177	spotify:track:0H8CBal2Dcu5Yc001VotZN	IZA	Dona de mim	WM Brazil	23	160	529	85072	0H8CBal2Dcu5Yc001VotZN
178	spotify:track:7wAQTVTggrFQ4bceY6e3GE	PEDRO SAMPAIO, Mc Jefinho	AQUECIMENTO DO PEDRO SAMPAIO	WM Brazil	135	179	89	83968	7wAQTVTggrFQ4bceY6e3GE
179	spotify:track:2wlmLlbjh2F6Skqo2bt3of	Henrique & Juliano	Conheço Meu Gado - Ao Vivo	Virgin Music Label And Artist Services (S&D)	51	175	48	83665	2wlmLlbjh2F6Skqo2bt3of
180	spotify:track:0BVRi6cizWdDrLRmKI0qsw	Os Barões Da Pisadinha	Chupadinha	Sony Music Entertainment	125	-1	14	83387	0BVRi6cizWdDrLRmKI0qsw
181	spotify:track:2lm3Ric7MeBk8hLfsiVokr	Dilsinho, Sorriso Maroto	Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto)	Sony Music Entertainment	62	177	383	82771	2lm3Ric7MeBk8hLfsiVokr
182	spotify:track:0NRP5OIrTcgGvttJlSLO0n	Anitta, MC Cabelinho	Até o céu	WM Brazil	53	173	87	82621	0NRP5OIrTcgGvttJlSLO0n
183	spotify:track:4SSMFSSOhJ0YvS88FTULh8	Danilo Dubaiano, Naiara Azevedo	Cê Mal Me Quer Bem Estou (Ao Vivo)	Danilo Dubaiano	183	-1	1	82239	4SSMFSSOhJ0YvS88FTULh8
184	spotify:track:08Sd5vVcIH3uKeAiaJdoYj	Lauana Prado	Viva Voz - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	178	178	13	82078	08Sd5vVcIH3uKeAiaJdoYj
185	spotify:track:36P6ptTyxOggYgR2aoZiAl	Diego & Victor Hugo, Raí Saia Rodada	Pisadinha - Ao Vivo	Sony Music Entertainment	127	186	39	81844	36P6ptTyxOggYgR2aoZiAl
