rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
160,"spotify:track:2FGhB10Gon36GgFcOTMQEW","Pineapple StormTv, MC Hariel, Negra Li, Ducon, MC Kevin o Chris, Chris MC, Matuê, Dk 47, Vitão, Salve Malak, Hunter","Poesia Acústica #7: Céu Azul","Pineapple StormTV",21,145,367,"85804"
161,"spotify:track:0H8CBal2Dcu5Yc001VotZN","IZA","Dona de mim","WM Brazil",23,157,630,"85599"
162,"spotify:track:5q0NlM6Pm8Pp3orq7zGiRn","Matheus & Kauan, Jorge & Mateus","Quarta Cadeira - Ao Vivo","Universal Music Ltda.",9,161,490,"85253"
163,"spotify:track:0N2cvvlyEw5NFc00E3FB0D","Dj Guuga, Mc Pierre","Cabaré","GR6 Music",98,160,43,"85161"
164,"spotify:track:187Pge0WmJNoS73kaIORSE","Douglas & Vinicius, MC Bruninho","Figurinha - Ao Vivo","Virgin Music Label And Artist Services (S&D)",154,154,7,"85139"
165,"spotify:track:7J3QMuDCSv56jRSiD9jFBF","Eric Land, Xand Avião","Cidade Inteira","Eric Land",104,149,19,"85102"
166,"spotify:track:6aGjEZ7kq3YXgD0EDt80O5","One Direction","Live While We're Young","Syco Music",166,-1,1,"84616"
167,"spotify:track:0AkQbXGN4KG34TS7xLrM68","One Direction","Kiss You","Syco Music",167,-1,1,"84400"
168,"spotify:track:1dKYlw6v9wofuqb7EXSvPn","DENNIS, Cantini","Isso Que é Vida","Sony Music Entertainment",136,164,112,"84046"
169,"spotify:track:0BVRi6cizWdDrLRmKI0qsw","Os Barões Da Pisadinha","Chupadinha","Sony Music Entertainment",77,165,65,"83603"
170,"spotify:track:5dKesZwp6deuhEeW8F1UEi","Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro","Hit Contagiante","Tudo Nosso Produtora",1,167,360,"83292"
171,"spotify:track:2DsZ6pXK1AG6emFugTeYW3","Melim","Gelo","UMG Recordings, Inc.",31,170,335,"82859"
172,"spotify:track:2PaOWQIEkSFkmONCv1Vgui","Melim","Eu Feat. Você","Universal Music Ltda.",120,159,21,"82384"
173,"spotify:track:0rUL7vUZmCKxB0gS83W3aM","Marília Mendonça, Leo Santana, Didá Banda Feminina","Apaixonadinha - Ao Vivo","Som Livre",49,169,434,"81688"
174,"spotify:track:5T7ZFtCcOgkpjxcuaeZbw0","One Direction","Best Song Ever","Syco Music",174,-1,1,"81638"
175,"spotify:track:7M6D0ACikinC39ZtuEwMPo","Dayvi, Victor Cardenas, Rennan da Penha, Kelly Ruíz","Baila Comigo (feat. Kelly Ruiz) - Rennan da Penha Remix","Sony Music Entertainment",73,175,79,"81366"
176,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Lady Gaga, Bradley Cooper","Shallow","A Star is Born OST",2,168,628,"81085"
177,"spotify:track:1K7WzjKDcDdVbKNGrB0gej","Major Lazer, MC Lan, Anitta, BEAM","Rave de Favela (feat. BEAM)","WM Brazil",2,171,160,"80821"
178,"spotify:track:65i9Mc7h1CG7ssI1OhMPcT","Dilsinho","Onze e Pouquinho","Sony Music Entertainment",107,174,273,"80718"
179,"spotify:track:3CgZi8DMUftJHK6WL2gKc1","Hungria Hip Hop","Um Pedido","Hungria Hip Hop",19,172,306,"80380"
180,"spotify:track:6wDzwmywQ2X8O0FN1IQGol","Os Barões Da Pisadinha","Cabeça Voando","Sony Music Entertainment",92,177,38,"80213"
181,"spotify:track:2cWCwWJTozhsGxmvrJJaXn","Recayd Mob, Dfideliz, MC Igu, Jé Santiago, Derek","Mlks de Sp","Recayd Mob",61,158,46,"80162"
