,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,ID,compound,neg,neu,pos
37,38,spotify:track:5fY9bVl1Wj4PIM3wnduWop,Marília Mendonça,Serenata - Ao Vivo,Som Livre,14,39,341,213039,5fY9bVl1Wj4PIM3wnduWop,0.0,0.0,1.0,0.0
38,39,spotify:track:1MmS7UIy3J1BTxfGCRvVqN,Gusttavo Lima,Carreira Solo - Ao Vivo,Sony Music Entertainment,21,43,173,211343,1MmS7UIy3J1BTxfGCRvVqN,0.0,0.0,1.0,0.0
39,40,spotify:track:72xB2J9ZeBl0Rzxq2XmzdY,"João Gustavo e Murilo, Analaga",Lençol Dobrado,WM Brazil,2,41,534,208633,72xB2J9ZeBl0Rzxq2XmzdY,0.0,0.0,1.0,0.0
40,41,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,Atlantic Records,26,35,102,198989,0nbXyq5TXYPCO7pr3N8S4I,-0.9883,0.118,0.814,0.068
41,42,spotify:track:127QTOFJsJQp5LbJbu3A1y,Drake,Toosie Slide,OVO,33,33,19,197389,127QTOFJsJQp5LbJbu3A1y,-0.4516,0.115,0.764,0.121
42,43,spotify:track:5q0NlM6Pm8Pp3orq7zGiRn,"Matheus & Kauan, Jorge & Mateus",Quarta Cadeira - Ao Vivo,Universal Music Ltda.,9,45,397,196985,5q0NlM6Pm8Pp3orq7zGiRn,0.0,0.0,1.0,0.0
43,44,spotify:track:5F8ffc8KWKNawllr5WsW0r,"Dadá Boladão, Tati Zaqui, OIK",Surtada - Remix Brega Funk,Sony Music Entertainment,1,42,205,196107,5F8ffc8KWKNawllr5WsW0r,-0.5267,0.014,0.986,0.0
44,45,spotify:track:5n8Y78Pl5q8lqS7sJP61qw,Diego & Arnaldo,Relógio Parado (Ao Vivo),Sony Music Entertainment,34,47,188,193802,5n8Y78Pl5q8lqS7sJP61qw,0.0,0.0,1.0,0.0
45,46,spotify:track:1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,Ferida Curada,Som Livre,4,49,278,181242,1U3tv41tFRgOfbytpuYQrR,0.9682,0.0,0.91,0.09
46,47,spotify:track:2uhBCMHwS3SATOHIgM2KPF,Zé Neto & Cristiano,Textão - Ao Vivo,Som Livre,44,48,54,180910,2uhBCMHwS3SATOHIgM2KPF,0.0,0.0,1.0,0.0
47,48,spotify:track:7vpGKEUPrA4UEsS4o4W1tP,Pabllo Vittar,Amor de Que,Sony Music Entertainment,10,44,173,180052,7vpGKEUPrA4UEsS4o4W1tP,0.995,0.032,0.792,0.176
48,49,spotify:track:1AfNdxHdE4OLcnQUyC6j3i,"MC JottaPê, MC Kekel, MC Kevinho",Eterna Sacanagem,KondZilla Records,19,46,187,177296,1AfNdxHdE4OLcnQUyC6j3i,0.9832,0.008,0.919,0.073
49,50,spotify:track:67mqU3FeErlvWwsxnMfvQo,"MC Du Black, Delacruz",Tudo Aconteceu,Universal Music Ltda.,50,50,27,175438,67mqU3FeErlvWwsxnMfvQo,-0.9413,0.05,0.95,0.0
50,51,spotify:track:17Ryox5vWKp92IDW87C5PI,Gusttavo Lima,Quem Traiu Levou - Ao Vivo,Sony Music Entertainment,14,51,223,170724,17Ryox5vWKp92IDW87C5PI,-0.1531,0.025,0.96,0.015
51,52,spotify:track:5MArTXEVyKBwoodjdy04fk,"Zé Felipe, Gusttavo Lima",Tiro Certo - Ao Vivo,Som Livre,14,61,313,160227,5MArTXEVyKBwoodjdy04fk,0.9081,0.0,0.954,0.046
52,53,spotify:track:3vSXPjfcebTt5mB8DXHWM6,Wesley Safadão,Dois Lados,Som Livre,37,62,257,151110,3vSXPjfcebTt5mB8DXHWM6,0.4098,0.0,0.988,0.012
53,54,spotify:track:23zmMwD99ROi9yhxqMxWil,"João Bosco & Vinicius, Matheus",Segunda Taça - Ao Vivo,João Bosco & Vinicius,54,65,61,148038,23zmMwD99ROi9yhxqMxWil,0.0,0.0,1.0,0.0
54,55,spotify:track:5PNvgiKSwMdjBsDsgFCFLX,"Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion",Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix,Spinnin' Deep,53,53,19,147151,5PNvgiKSwMdjBsDsgFCFLX,0.863,0.054,0.872,0.074
55,56,spotify:track:14kRWkCWBYfQqILflEcpSJ,"Lexa, PEDRO SAMPAIO",Chama Ela (feat. Pedro Sampaio),Som Livre,5,59,210,146199,14kRWkCWBYfQqILflEcpSJ,-0.8593,0.038,0.962,0.0
56,57,spotify:track:7qpXCkcr3Zj4LDvdiWryns,Diego & Victor Hugo,Erro Antigo - Ao Vivo,Sony Music Entertainment,53,66,89,146090,7qpXCkcr3Zj4LDvdiWryns,0.0,0.0,1.0,0.0
57,58,spotify:track:48CAeajgzcGJaVUSsXd7h0,"Guilherme & Benuto, Israel & Rodolffo",Declaração pro Bar - Ao Vivo,Sony Music Entertainment,53,67,66,145995,48CAeajgzcGJaVUSsXd7h0,0.6124,0.0,0.977,0.023
