rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
181	spotify:track:59997R2RsMZBXJmXh9d13n	LUDMILLA	Amor difícil	WM Brazil	37	182	6	69019	59997R2RsMZBXJmXh9d13n
182	spotify:track:3HXLUh9lzSrSLvrvLk2LjC	Henrique & Juliano	Se Eu Fosse Você - Ao Vivo	Virgin Music Label And Artist Services (S&D)	83	186	88	68924	3HXLUh9lzSrSLvrvLk2LjC
183	spotify:track:0nkDm27DGppCSk8dnGtvPa	POCAH	Não sou obrigada	WM Brazil	14	192	395	68759	0nkDm27DGppCSk8dnGtvPa
184	spotify:track:4YbZBChhX5SkLhNJcvvhuD	Pk, Belo	Indomável (Participação especial de Belo)	WM Brazil	130	194	157	68733	4YbZBChhX5SkLhNJcvvhuD
185	spotify:track:3tu0GkIZwwkmILoD4HemBq	Raí Saia Rodada	Bebe e Vem Me Procurar	Som Livre	36	190	321	68536	3tu0GkIZwwkmILoD4HemBq
186	spotify:track:3ZCTVFBt2Brf31RLEnCkWJ	Billie Eilish	everything i wanted	Darkroom/Interscope Records	50	183	133	68096	3ZCTVFBt2Brf31RLEnCkWJ
187	spotify:track:6xcJyGpfZbuuiequtnlKt4	Travis Scott	BUTTERFLY EFFECT	Cactus Jack / Epic / Grand Hustle	116	144	6	67724	6xcJyGpfZbuuiequtnlKt4
188	spotify:track:1qDZnViQgUItsMpWLVwfGb	ANAVITÓRIA, Matheus & Kauan	Fica	Universal Music Ltda.	15	179	1012	67638	1qDZnViQgUItsMpWLVwfGb
189	spotify:track:7qiZfU4dY1lWllzX7mPBI3	Ed Sheeran	Shape of You	Atlantic Records UK	1	189	1079	67402	7qiZfU4dY1lWllzX7mPBI3
190	spotify:track:37hCsK2djczyRGWMjqzbxD	Mc Lele JP, MC Neguinho do Kaxeta	Sou Vitorioso	GR6 Music	90	191	117	66488	37hCsK2djczyRGWMjqzbxD
