Position	TrackName	Artist	Streams	URL	Id
92	Sorte - Ao Vivo	Diego & Victor Hugo	1286644	https://open.spotify.com/track/5CbDKqtF6F6m1KUvsAf2Kf	5CbDKqtF6F6m1KUvsAf2Kf
93	Estelionato Afetivo - Ao Vivo	Douglas & Vinicius	1284595	https://open.spotify.com/track/0m6XpDgZSyqyCg0HKOCaO8	0m6XpDgZSyqyCg0HKOCaO8
94	Não, Não Vou	Mari Fernandez	1284290	https://open.spotify.com/track/3jSG8oE8doxDxmpe5GlFee	3jSG8oE8doxDxmpe5GlFee
95	Eu e Eu	Vitor e Luan	1274268	https://open.spotify.com/track/7DETyuwRe61Ab57w90dJ37	7DETyuwRe61Ab57w90dJ37
96	Apita	Costa Gold	1259221	https://open.spotify.com/track/5m2XYNroEL5ceFFPDngYe2	5m2XYNroEL5ceFFPDngYe2
97	Quebrando Protocolo - Ao Vivo	Gusttavo Lima	1248807	https://open.spotify.com/track/0RoVmAeG1dC9U34S6RCCIB	0RoVmAeG1dC9U34S6RCCIB
98	De Garrafa A Pior - Ao Vivo	Henrique & Juliano	1239492	https://open.spotify.com/track/48m5UXwNTD7cddHC6xRiFk	48m5UXwNTD7cddHC6xRiFk
99	ILHA	Luan Santana	1233530	https://open.spotify.com/track/2zvfMwpBdm9zC4zwLWq1Wg	2zvfMwpBdm9zC4zwLWq1Wg
100	Beggin'	Måneskin	1223684	https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e	3Wrjm47oTz2sjIgck11l5e
101	Imagine a Cena	Eric Land	1220081	https://open.spotify.com/track/7b0W6Ra4fEoTTUWjQW1lpl	7b0W6Ra4fEoTTUWjQW1lpl
102	Malvadão 3	Xamã	1215011	https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH	0NBgyml7T0IvUNbXIkcSpH
103	Superação Digital	Xand Avião	1211850	https://open.spotify.com/track/6AQqsFYtCQi9m7MJcMjGup	6AQqsFYtCQi9m7MJcMjGup
104	Meu Bem	João Gomes	1207371	https://open.spotify.com/track/3QKv1RIrWsLTA63oxscVrZ	3QKv1RIrWsLTA63oxscVrZ
105	Mustang Preto	Teto	1205752	https://open.spotify.com/track/6Vgn3IEUkWs3d6og029Gtm	6Vgn3IEUkWs3d6og029Gtm
