rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
158	spotify:track:4pnlRYoaaGu24SuC3et5Pv	Yasmin Santos, Wesley Safadão	Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo	Sony Music Entertainment	64	159	177	94595	4pnlRYoaaGu24SuC3et5Pv
159	spotify:track:3fLqmaO4vvZpFZSZy52VMp	Lagum, Ana Gabriela	Deixa (feat. Ana Gabriela)	Sony Music Entertainment	20	158	640	93401	3fLqmaO4vvZpFZSZy52VMp
160	spotify:track:24Yi9hE78yPEbZ4kxyoXAI	SAINt JHN, Imanbek	Roses - Imanbek Remix	Columbia/B1 Recordings	142	164	10	93036	24Yi9hE78yPEbZ4kxyoXAI
161	spotify:track:6t4GFrRJgdMijBL8qMU184	Jorge & Mateus	Tela Preta	Som Livre	53	100	3	92409	6t4GFrRJgdMijBL8qMU184
162	spotify:track:6YjyT6MEMsMc41NNWk2dYg	Marília Mendonça, Maiara & Maraisa	Bebaça - Ao Vivo	Som Livre	5	176	361	91147	6YjyT6MEMsMc41NNWk2dYg
163	spotify:track:3jjujdWJ72nww5eGnfs2E7	Harry Styles	Adore You	Columbia	49	161	91	91040	3jjujdWJ72nww5eGnfs2E7
164	spotify:track:0H8CBal2Dcu5Yc001VotZN	IZA	Dona de mim	WM Brazil	23	173	522	90823	0H8CBal2Dcu5Yc001VotZN
165	spotify:track:2FGhB10Gon36GgFcOTMQEW	Pineapple StormTv, MC Hariel, Negra Li, Ducon, MC Kevin o Chris, Chris MC, Matuê, Dk 47, Vitão, Salve Malak, Hunter	Poesia Acústica #7: Céu Azul	Pineapple StormTV	21	167	244	90519	2FGhB10Gon36GgFcOTMQEW
166	spotify:track:51Fjme0JiitpyXKuyQiCDo	Y2K, bbno$	Lalala	Columbia	7	162	198	90375	51Fjme0JiitpyXKuyQiCDo
167	spotify:track:1gsWgGZvy4waIfWPuctvRU	Dj Gabriel do Borel, Anitta	Joga Sua Potranca	DJ Gabriel do Borel, ONErpm / Artista Gentilmente Cedido por Warner Music Brasil, uma empresa Warner	79	168	29	89963	1gsWgGZvy4waIfWPuctvRU
168	spotify:track:1DFD5Fotzgn6yYXkYsKiGs	MEDUZA, Goodboys	Piece Of Your Heart	Virgin	55	154	288	89926	1DFD5Fotzgn6yYXkYsKiGs
169	spotify:track:0pqnGHJpmpxLKifKRmU6WP	Imagine Dragons	Believer	Kid Ina Korner / Interscope	30	165	1129	89923	0pqnGHJpmpxLKifKRmU6WP
170	spotify:track:1mXgYpwge3J5qFkRAHQFZ9	Camila Loures, MC WM	Bambolê	Camila Loures	170	179	2	88387	1mXgYpwge3J5qFkRAHQFZ9
171	spotify:track:3HXLUh9lzSrSLvrvLk2LjC	Henrique & Juliano	Se Eu Fosse Você - Ao Vivo	Virgin Music Label And Artist Services (S&D)	83	169	38	87830	3HXLUh9lzSrSLvrvLk2LjC
172	spotify:track:0IQCOAw9ZAI6WnXIrl481F	Mc Livinho, Rennan da Penha	Hoje Eu Vou Parar Na Gaiola	GR6 Music	4	182	473	87213	0IQCOAw9ZAI6WnXIrl481F
173	spotify:track:0abrd2vT2W3JZBDNezUY7r	Thiaguinho	Deixa Tudo Como Tá - Ao Vivo	Som Livre	77	177	146	86947	0abrd2vT2W3JZBDNezUY7r
174	spotify:track:4xwPOyN9VgaTPehdsLiYul	Melim	Dois Corações	Universal Music Ltda.	64	174	353	85967	4xwPOyN9VgaTPehdsLiYul
175	spotify:track:7wAQTVTggrFQ4bceY6e3GE	PEDRO SAMPAIO, Mc Jefinho	AQUECIMENTO DO PEDRO SAMPAIO	WM Brazil	135	180	87	85269	7wAQTVTggrFQ4bceY6e3GE
176	spotify:track:2wlmLlbjh2F6Skqo2bt3of	Henrique & Juliano	Conheço Meu Gado - Ao Vivo	Virgin Music Label And Artist Services (S&D)	51	178	45	85198	2wlmLlbjh2F6Skqo2bt3of
177	spotify:track:6i9ToXS6CAfjpp8veBklg1	Vitão	Café	Universal Music Ltda.	29	171	365	84808	6i9ToXS6CAfjpp8veBklg1
178	spotify:track:0NRP5OIrTcgGvttJlSLO0n	Anitta, MC Cabelinho	Até o céu	WM Brazil	53	172	80	84800	0NRP5OIrTcgGvttJlSLO0n
179	spotify:track:4pl0csAczZemDLdyNYOmxT	Thiaguinho	A Fila Anda - Ao Vivo	Som Livre	173	181	35	83926	4pl0csAczZemDLdyNYOmxT
180	spotify:track:6iW38RGqdDGOofmz2HeXLW	MEDUZA, Alok, Goodboys	Piece Of Your Heart - Alok Remix	Virgin	102	170	258	83921	6iW38RGqdDGOofmz2HeXLW
181	spotify:track:11Y1IGMIThaxu4ijcXRNYs	Pixote	Nem de Graça	GR Shows	145	183	185	83660	11Y1IGMIThaxu4ijcXRNYs
182	spotify:track:0BVRi6cizWdDrLRmKI0qsw	Os Barões Da Pisadinha	Chupadinha	Sony Music Entertainment	125	-1	13	83555	0BVRi6cizWdDrLRmKI0qsw
183	spotify:track:1nqaSoiLuqevDes4S18sO7	Gusttavo Lima	Milu	Gusttavo Lima	5	186	241	82581	1nqaSoiLuqevDes4S18sO7
184	spotify:track:0EZuXcsnjEmGuRYdFdcctX	Marília Mendonça	Sem Sal - Ao Vivo	Som Livre	15	192	467	81769	0EZuXcsnjEmGuRYdFdcctX
185	spotify:track:74n5d5M21JnC4WJ6gdkggK	Jorge & Mateus	Propaganda - Ao Vivo	Som Livre	1	175	609	81630	74n5d5M21JnC4WJ6gdkggK
186	spotify:track:08Sd5vVcIH3uKeAiaJdoYj	Lauana Prado	Viva Voz - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	180	185	8	81583	08Sd5vVcIH3uKeAiaJdoYj
187	spotify:track:1YAtg8jo5fR3Q01eO2jPTl	Mc Bola, Mc Magal	Positividade	GR6 Music	120	187	129	81420	1YAtg8jo5fR3Q01eO2jPTl
188	spotify:track:7x2PPGgAptvKQI2Aw8XIY0	Jorge & Mateus	Quase Sem Querer - Recorded At Mosh Studios, São Paulo	Som Livre	146	166	4	80785	7x2PPGgAptvKQI2Aw8XIY0
189	spotify:track:2vHshN6rsDYqoiZlMhfRpo	Orochi, Dallass	Balão	Orochi Records	71	184	283	79744	2vHshN6rsDYqoiZlMhfRpo
190	spotify:track:2lm3Ric7MeBk8hLfsiVokr	Dilsinho, Sorriso Maroto	Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto)	Sony Music Entertainment	62	190	377	79653	2lm3Ric7MeBk8hLfsiVokr
191	spotify:track:7MnT7msJZg3XBAS0OTfGrB	Legião Urbana	Tempo Perdido	EMI Brazil	153	-1	115	78970	7MnT7msJZg3XBAS0OTfGrB
192	spotify:track:371Up3WP7OqJNFPf0BiyUe	Zé Neto & Cristiano	Largado Às Traças - Ao Vivo	Som Livre	1	-1	571	78902	371Up3WP7OqJNFPf0BiyUe
193	spotify:track:5eMmT4Ava5BGThju0AD8vQ	Gusttavo Lima	Cem Mil - Ao Vivo	Som Livre	1	-1	466	78620	5eMmT4Ava5BGThju0AD8vQ
194	spotify:track:1EQ8sBQ7Abv9DvNBzhXAcv	Nando Reis, Ana Cañas	Pra Você Guardei O Amor	Universal Music Ltda.	104	197	513	78335	1EQ8sBQ7Abv9DvNBzhXAcv
195	spotify:track:36P6ptTyxOggYgR2aoZiAl	Diego & Victor Hugo, Raí Saia Rodada	Pisadinha - Ao Vivo	Sony Music Entertainment	127	200	37	78137	36P6ptTyxOggYgR2aoZiAl
196	spotify:track:4fMjqKYYsvtT6Fvca8lGFl	Turma do Pagode	Sua Mãe Vai Me Amar	Turma do Pagode Produções Artísticas ltda.	39	-1	464	77765	4fMjqKYYsvtT6Fvca8lGFl
197	spotify:track:2VxeLyX666F8uXCJ0dZF8B	Lady Gaga, Bradley Cooper	Shallow	A Star is Born OST	2	188	513	77493	2VxeLyX666F8uXCJ0dZF8B
198	spotify:track:3hhL2XqJ5IDzEAWI9OxOus	Gustavo Mioto, Wesley Safadão	Plaquinha De Aviso - Ao Vivo	Universal Music Ltda.	60	195	59	76710	3hhL2XqJ5IDzEAWI9OxOus
199	spotify:track:4UANYptjv2kpV6IY7IjXoJ	Marília Mendonça	Bem Pior Que Eu - Ao Vivo	Som Livre	23	-1	498	76439	4UANYptjv2kpV6IY7IjXoJ
200	spotify:track:2PADJK4rhdklqFLQFa5oMX	Atitude 67	Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo	Universal Music Ltda.	14	-1	647	76402	2PADJK4rhdklqFLQFa5oMX
