,Data,Danceability,Valence,Energy,Tempo
77,2020-06-25,0.675725,0.6198440000000001,0.69833,128.08579
78,2020-07-02,0.6816599999999999,0.619534,0.6997999999999999,127.913875
79,2020-07-09,0.6792150000000001,0.6227935,0.705375,127.835975
80,2020-07-16,0.682265,0.635676,0.708305,127.680895
81,2020-07-23,0.677825,0.634811,0.7081400000000001,128.041325
82,2020-07-30,0.6665000000000001,0.611721,0.693125,126.94496000000001
83,2020-08-06,0.6731149999999999,0.6258535,0.6996000000000001,127.60262999999999
84,2020-08-13,0.67688,0.6262285,0.703245,128.489895
85,2020-08-20,0.67755,0.6259435000000001,0.7045950000000001,128.840855
86,2020-08-27,0.6771299999999999,0.622541,0.705065,128.738285
87,2020-09-03,0.6768649999999999,0.6326709999999999,0.7177449999999999,130.83119
88,2020-09-10,0.67432,0.64244,0.726735,130.30855
