rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
81	spotify:track:22rcaYTa2UgcLCbeO0NoNj	Priscilla Alcantara, Whindersson Nunes	Girassol	Sony Music Entertainment	9	72	14	963303	22rcaYTa2UgcLCbeO0NoNj
82	spotify:track:5gvrBqNFFEWcxYPt3mamvJ	Luan Santana	quando a bad bater - ao vivo	Som Livre	1	82	38	960540	5gvrBqNFFEWcxYPt3mamvJ
83	spotify:track:5IVTQjCXlC2R4Yb8IhkLRr	Henrique & Juliano	Ligação Covarde - Ao Vivo	Virgin Music Label And Artist Services (S&D)	83	-1	1	954810	5IVTQjCXlC2R4Yb8IhkLRr
84	spotify:track:7sYAS4CpbV90oSemgaEQat	Alok, Dynoro	On & On	Columbia/B1 Recordings	77	77	17	952580	7sYAS4CpbV90oSemgaEQat
85	spotify:track:7CHi4DtfK4heMlQaudCuHK	MEDUZA, Becky Hill, Goodboys	Lose Control	Virgin	85	93	14	938909	7CHi4DtfK4heMlQaudCuHK
86	spotify:track:4k20Ie47EcWtS4wMBn8w8S	LUDMILLA, Leo Santana	Invocada (Participação especial de Léo Santana) - Ao vivo	WM Brazil	11	80	34	937027	4k20Ie47EcWtS4wMBn8w8S
87	spotify:track:1G60NjxeOS7veR1EXuKPaW	Gustavo Mioto	Fake News - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	20	84	46	935869	1G60NjxeOS7veR1EXuKPaW
88	spotify:track:3rDAHk73LZmgJIyGZstWQ0	Pixote	Nem de Graça / Saudade Arregaça - Ao Vivo	GR Shows	56	87	29	934478	3rDAHk73LZmgJIyGZstWQ0
89	spotify:track:7oEr56KG6odStlQH0nvdyr	Gustavo Mioto	Solteiro Não Trai - Ao Vivo	Gustavo Mioto	8	94	67	926060	7oEr56KG6odStlQH0nvdyr
90	spotify:track:4gDvg62vG96w0qJaF6wzcd	Diego & Victor Hugo, Zé Neto & Cristiano	A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília	Sony Music Entertainment	17	98	52	924610	4gDvg62vG96w0qJaF6wzcd
91	spotify:track:4E6RdcCWMiHTu7zy1VTNDo	Marília Mendonça	Todo Mundo Vai Sofrer - Ao Vivo	Som Livre	1	88	44	916760	4E6RdcCWMiHTu7zy1VTNDo
92	spotify:track:24Yi9hE78yPEbZ4kxyoXAI	SAINt JHN, Imanbek	Roses - Imanbek Remix	Columbia/B1 Recordings	92	128	3	914085	24Yi9hE78yPEbZ4kxyoXAI
93	spotify:track:21jGcNKet2qwijlDFuPiPb	Post Malone	Circles	Republic Records	42	91	29	905962	21jGcNKet2qwijlDFuPiPb
94	spotify:track:7qEHsqek33rTcFNT9PFqLf	Lewis Capaldi	Someone You Loved	Vertigo Berlin	91	100	28	904795	7qEHsqek33rTcFNT9PFqLf
95	spotify:track:696DnlkuDOXcMAnKlTgXXK	Arizona Zervas	ROXANNE	Arizona Zervas	80	107	17	900774	696DnlkuDOXcMAnKlTgXXK
96	spotify:track:5U28PY9MekLyCBYtLHGQpe	Melim	Meu Abrigo	Universal Music Ltda.	3	86	95	897547	5U28PY9MekLyCBYtLHGQpe
97	spotify:track:0CgMeXQiNYJxPVQ2EMJxdL	Mc Livinho, Mc Pedrinho	Se Prepara 2	GR6 Music	34	97	22	897495	0CgMeXQiNYJxPVQ2EMJxdL
98	spotify:track:13Rf6RaZT13TW4xLQR3MQr	Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak, Hunter	Poesia Acústica #6: Era uma Vez	Pineapple StormTV	18	101	64	883075	13Rf6RaZT13TW4xLQR3MQr
99	spotify:track:5px6upUHM3fhOP621Edp4V	Dua Lipa	Physical	Warner Records	39	115	7	873527	5px6upUHM3fhOP621Edp4V
100	spotify:track:3NnW2EqJxvHYrRy3upaznl	MC Kevin o Chris, POCAH	Resenha lá em casa	WM Brazil	32	90	37	870030	3NnW2EqJxvHYrRy3upaznl
