,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,ID,compound,neg,neu,pos
43,44,spotify:track:28atBekPVlTdnU4M9Z7udd,"Dilsinho, Luísa Sonza, Malibu",Não Vai Embora,Malibu Studios,39,55,5,1420303,28atBekPVlTdnU4M9Z7udd,-0.8105,0.02,0.98,0.0
44,45,spotify:track:08Sd5vVcIH3uKeAiaJdoYj,Lauana Prado,Viva Voz - Ao Vivo Em São Paulo / 2019,Universal Music Ltda.,37,58,14,1412054,08Sd5vVcIH3uKeAiaJdoYj,0.8625,0.038,0.858,0.104
45,46,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,15,48,11,1398190,017PF4Q3l4DBUiWoXk4OWT,0.9992,0.065,0.698,0.236
46,47,spotify:track:3oqC4Ta40ft6NnTJwcUTdi,"Rashid, Lukinhas, Emicida",Pipa Voada (feat. Emicida),Sony Music Entertainment,43,60,14,1289374,3oqC4Ta40ft6NnTJwcUTdi,0.0,0.0,1.0,0.0
47,48,spotify:track:6QwFUcPc5nhsqZuhXUYtV7,Jorge & Mateus,Tijolão - Ao Vivo,Som Livre,1,63,55,1277058,6QwFUcPc5nhsqZuhXUYtV7,0.0,0.0,1.0,0.0
48,49,spotify:track:1AfNdxHdE4OLcnQUyC6j3i,"MC JottaPê, MC Kekel, MC Kevinho",Eterna Sacanagem,KondZilla Records,26,62,34,1263410,1AfNdxHdE4OLcnQUyC6j3i,0.9832,0.008,0.919,0.073
49,50,spotify:track:1IWNylpZ477gIVUDpJL66u,"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),Interscope,7,7,3,1242869,1IWNylpZ477gIVUDpJL66u,0.7576,0.071,0.849,0.08
50,51,spotify:track:5fY9bVl1Wj4PIM3wnduWop,Marília Mendonça,Serenata - Ao Vivo,Som Livre,16,68,56,1106165,5fY9bVl1Wj4PIM3wnduWop,0.0,0.0,1.0,0.0
51,52,spotify:track:79BHjj4YkvbpOlMvG6wf3n,Luan Santana,boa memória - ao vivo,Som Livre,50,59,9,1094886,79BHjj4YkvbpOlMvG6wf3n,0.6808,0.019,0.946,0.035
52,53,spotify:track:2uhBCMHwS3SATOHIgM2KPF,Zé Neto & Cristiano,Textão - Ao Vivo,Som Livre,47,73,15,1064491,2uhBCMHwS3SATOHIgM2KPF,0.0,0.0,1.0,0.0
