rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
169,"spotify:track:6oEwV0l34zhnC7OmAqmHjY","ANAVITÓRIA","Me conta da tua janela","Universal Music Ltda.",33,152,44,"80825"
170,"spotify:track:2RMOwSvOGQyy985Vx4VSGQ","LUDMILLA, Topo La Maskara, Walshy Fire","Verdinha","WM Brazil",8,180,194,"80818"
171,"spotify:track:0h5iRD8nlDtcn4rwbZzNgg","MC Kevinho","Te gusta","WM Brazil",171,182,8,"80625"
172,"spotify:track:4Y7ay3naWoluoOM3xIj1UZ","LUDMILLA","A boba fui eu - Recorded At Mosh Studios, São Paulo","WM Brazil",68,181,81,"80386"
173,"spotify:track:6AQHdnPnoNoSpCJIO23KsX","MC JottaPê, DJ RD, MC M10","Sentou e Gostou","KondZilla",3,172,321,"80356"
174,"spotify:track:2FGhB10Gon36GgFcOTMQEW","Pineapple StormTv, MC Hariel, Negra Li, Ducon, MC Kevin o Chris, Chris MC, Matuê, Dk 47, Vitão, Salve Malak, Hunter","Poesia Acústica #7: Céu Azul","Pineapple StormTV",21,159,331,"80267"
175,"spotify:track:696DnlkuDOXcMAnKlTgXXK","Arizona Zervas","ROXANNE","Arizona Zervas",70,165,196,"80061"
176,"spotify:track:35UE1nhYHTax1g6y90pTKE","Henrique & Juliano","Amor Atual - Ao Vivo","Virgin Music Label And Artist Services (S&D)",51,187,69,"79704"
177,"spotify:track:0rUL7vUZmCKxB0gS83W3aM","Marília Mendonça, Leo Santana, Didá Banda Feminina","Apaixonadinha - Ao Vivo","Som Livre",49,185,391,"79485"
178,"spotify:track:4x8XaoLvpo6kd51PZD16RK","Dilsinho, Henrique & Juliano","Sogra - Ao Vivo","Sony Music Entertainment",171,171,3,"79321"
179,"spotify:track:1xyVMQx51Kab6eLVtE6twx","Lauana Prado, Maiara & Maraisa","Cobaia","Universal Music Ltda.",6,184,670,"79075"
180,"spotify:track:563yuGweEqRVQtjfsDVRyK","Sidoka, Intactoz Corp.","Não Me Sinto Mal Mais","Infame Company",74,183,184,"78120"
181,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Lady Gaga, Bradley Cooper","Shallow","A Star is Born OST",2,173,591,"77943"
182,"spotify:track:4DpNNXFMMxQEKl7r0ykkWA","Melanie Martinez","Play Date","Atlantic Records",155,186,19,"77825"
183,"spotify:track:41A89rj3GoMG6ktN37L7PG","Lady Gaga","Alice","Interscope",4,170,13,"77797"
184,"spotify:track:4rnI4obabjGCPI2CCCs5VR","Felipe Araújo","Hoje Eu Beberei - Ao Vivo","Universal Music Ltda.",58,-1,228,"77670"
185,"spotify:track:0UcXwpDGXU9IAwo6ZeRneX","Henrique & Juliano","Eterno Replay - Ao Vivo","Virgin Music Label And Artist Services (S&D)",54,198,54,"77622"
186,"spotify:track:3Hi829to1jWWtcUxMdbJng","Hungria Hip Hop, Alok","Psicose","Hungria Hip Hop",140,169,6,"77400"
187,"spotify:track:1dKYlw6v9wofuqb7EXSvPn","DENNIS, Cantini","Isso Que é Vida","Sony Music Entertainment",150,176,71,"77273"
188,"spotify:track:4QFzCjkQl2c7wrzVrOu2sz","Orochi, Dallass","Balão","Mainstreet Records",71,175,357,"76982"
189,"spotify:track:3kGx7JDcz0FvWszSyuuQN6","Henrique & Juliano","Sem Amor - Ao Vivo","Virgin Music Label And Artist Services (S&D)",62,-1,25,"76677"
190,"spotify:track:7HLU2aJTAQfSIgJ2dMASsP","Mc Poze do Rodo, Dj Gabriel do Borel","To Voando Alto","Mc Poze do Rodo",16,189,198,"76484"
191,"spotify:track:1K5KBOgreBi5fkEHvg5ap3","Future, Drake","Life Is Good (feat. Drake)","Epic/Freebandz",105,177,97,"76283"
192,"spotify:track:4xwPOyN9VgaTPehdsLiYul","Melim","Dois Corações","Universal Music Ltda.",64,174,419,"75558"
193,"spotify:track:6mdU8glNHYdBBj5DuKSL1B","Gusttavo Lima","Perrengue - Ao Vivo","Sony Music Entertainment",15,-1,247,"75368"
194,"spotify:track:4Clmg1g8n2yBYG13Z1oSdG","Dayvi, Victor Cardenas, Kelly Ruíz","Baila Conmigo (feat. Kelly Ruiz)","Sony Music México",53,194,160,"74961"
195,"spotify:track:6i9ToXS6CAfjpp8veBklg1","Vitão","Café","Universal Music Ltda.",29,190,440,"74553"
196,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Ed Sheeran","Shape of You","Atlantic Records UK",1,193,1102,"74281"
197,"spotify:track:37hCsK2djczyRGWMjqzbxD","Mc Lele JP, MC Neguinho do Kaxeta","Sou Vitorioso","GR6 Music",87,199,128,"74136"
198,"spotify:track:2tnVG71enUj33Ic2nFN6kZ","Regard","Ride It","Ministry of Sound Recordings",128,196,107,"74123"
199,"spotify:track:1ipiDzNe3oxmXbURsgyczF","MC Bruna Alves, Dj Digo Beat","Me Desculpa Pai, Me Desculpa Mãe (feat. Dj Digo Beat) - Remix Digo Beat","Way Produtora",145,-1,4,"74084"
200,"spotify:track:3CgZi8DMUftJHK6WL2gKc1","Hungria Hip Hop","Um Pedido","Hungria Hip Hop",19,192,291,"74009"
