rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
189	spotify:track:1CZ2ll2RyAhbdT0ayvjAjg	Os Parazim	Saveiro	Os Parazim	184	-1	5	77718	1CZ2ll2RyAhbdT0ayvjAjg
190	spotify:track:1qDZnViQgUItsMpWLVwfGb	ANAVITÓRIA, Matheus & Kauan	Fica	Universal Music Ltda.	15	-1	980	77621	1qDZnViQgUItsMpWLVwfGb
191	spotify:track:2MKiL2LuTQfVfGKdbmYze3	Anitta, Psirico	Jogação	WM Brazil	132	-1	10	77388	2MKiL2LuTQfVfGKdbmYze3
192	spotify:track:1wHNSciCOxqs4dft2EWrIC	Luan Santana, Leo Santana, Olodum	SOFRENDO FEITO UM LOUCO - SUMMER VERSION	Som Livre	176	176	5	77372	1wHNSciCOxqs4dft2EWrIC
193	spotify:track:11Y1IGMIThaxu4ijcXRNYs	Pixote	Nem de Graça	GR Shows	145	177	167	77328	11Y1IGMIThaxu4ijcXRNYs
194	spotify:track:7Ac3BmqTQoLdAt7HtZyfgN	DENNIS, Mc Don Juan	Te Prometo	Sony Music Entertainment	187	187	3	77213	7Ac3BmqTQoLdAt7HtZyfgN
195	spotify:track:6J8UJNZrIwvcpsWHvSkwXn	Matuê	Anos Luz	30praum	57	-1	465	76754	6J8UJNZrIwvcpsWHvSkwXn
196	spotify:track:7wAQTVTggrFQ4bceY6e3GE	PEDRO SAMPAIO, Mc Jefinho	AQUECIMENTO DO PEDRO SAMPAIO	WM Brazil	153	155	68	76136	7wAQTVTggrFQ4bceY6e3GE
197	spotify:track:3Dv1eDb0MEgF93GpLXlucZ	Doja Cat	Say So	Kemosabe Records/RCA Records	197	-1	1	75017	3Dv1eDb0MEgF93GpLXlucZ
198	spotify:track:7MPQNyAX02uIEQCRsC4sgc	Matuê, Predella	Banco	30PRAUM	67	-1	277	74914	7MPQNyAX02uIEQCRsC4sgc
199	spotify:track:78kar2tZk7655xZMibzXO3	Lagum	Oi	Sony Music Entertainment	71	-1	164	74553	78kar2tZk7655xZMibzXO3
200	spotify:track:1nqaSoiLuqevDes4S18sO7	Gusttavo Lima	Milu	Gusttavo Lima	5	132	229	74532	1nqaSoiLuqevDes4S18sO7
