rank	uri	artist_names	track_name	source	peak_rank	previous_rank	days_on_chart	streams	ID
49	spotify:track:1AfNdxHdE4OLcnQUyC6j3i	MC JottaPê, MC Kekel, MC Kevinho	Eterna Sacanagem	KondZilla Records	19	46	187	177296	1AfNdxHdE4OLcnQUyC6j3i
50	spotify:track:67mqU3FeErlvWwsxnMfvQo	MC Du Black, Delacruz	Tudo Aconteceu	Universal Music Ltda.	50	50	27	175438	67mqU3FeErlvWwsxnMfvQo
51	spotify:track:17Ryox5vWKp92IDW87C5PI	Gusttavo Lima	Quem Traiu Levou - Ao Vivo	Sony Music Entertainment	14	51	223	170724	17Ryox5vWKp92IDW87C5PI
52	spotify:track:5MArTXEVyKBwoodjdy04fk	Zé Felipe, Gusttavo Lima	Tiro Certo - Ao Vivo	Som Livre	14	61	313	160227	5MArTXEVyKBwoodjdy04fk
53	spotify:track:3vSXPjfcebTt5mB8DXHWM6	Wesley Safadão	Dois Lados	Som Livre	37	62	257	151110	3vSXPjfcebTt5mB8DXHWM6
54	spotify:track:23zmMwD99ROi9yhxqMxWil	João Bosco & Vinicius, Matheus	Segunda Taça - Ao Vivo	João Bosco & Vinicius	54	65	61	148038	23zmMwD99ROi9yhxqMxWil
55	spotify:track:5PNvgiKSwMdjBsDsgFCFLX	Maverick Sabre, Jorja Smith, Vintage Culture, Slow Motion	Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix	Spinnin' Deep	53	53	19	147151	5PNvgiKSwMdjBsDsgFCFLX
56	spotify:track:14kRWkCWBYfQqILflEcpSJ	Lexa, PEDRO SAMPAIO	Chama Ela (feat. Pedro Sampaio)	Som Livre	5	59	210	146199	14kRWkCWBYfQqILflEcpSJ
57	spotify:track:7qpXCkcr3Zj4LDvdiWryns	Diego & Victor Hugo	Erro Antigo - Ao Vivo	Sony Music Entertainment	53	66	89	146090	7qpXCkcr3Zj4LDvdiWryns
58	spotify:track:48CAeajgzcGJaVUSsXd7h0	Guilherme & Benuto, Israel & Rodolffo	Declaração pro Bar - Ao Vivo	Sony Music Entertainment	53	67	66	145995	48CAeajgzcGJaVUSsXd7h0
59	spotify:track:6sRLrSetyIwIKhW1eMlUNP	Matheus & Kauan, Marília Mendonça	Vou Ter Que Superar - Ao Vivo	Universal Music Ltda.	2	64	397	145150	6sRLrSetyIwIKhW1eMlUNP
