rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
126	spotify:track:4HTrlT5mmxPaZZKs4JSPeI	Mc Don Juan	To Gostando Tanto de Você	GR6 Music	33	120	30	608681	4HTrlT5mmxPaZZKs4JSPeI
127	spotify:track:5mFn4teAi2HMi7kRHliyFL	Bruno & Marrone, Jorge & Mateus	Surto De Amor - Ao Vivo Em Uberlândia / 2018	Universal Music Ltda.	23	121	15	604988	5mFn4teAi2HMi7kRHliyFL
128	spotify:track:0rUL7vUZmCKxB0gS83W3aM	Marília Mendonça, Leo Santana, Didá Banda Feminina	Apaixonadinha - Ao Vivo	Som Livre	54	116	6	600199	0rUL7vUZmCKxB0gS83W3aM
129	spotify:track:7qiZfU4dY1lWllzX7mPBI3	Ed Sheeran	Shape of You	Atlantic Records UK	1	133	129	592594	7qiZfU4dY1lWllzX7mPBI3
130	spotify:track:7G2XZhDNHo7SSDWSVxC0UT	Anitta, MC Kevinho	Terremoto	WM Brazil	1	122	21	587803	7G2XZhDNHo7SSDWSVxC0UT
131	spotify:track:43tDjfz9Inw7Soy0jzxowN	Zé Neto & Cristiano	Status Que Eu Não Queria - Ao Vivo	Som Livre	6	126	58	586620	43tDjfz9Inw7Soy0jzxowN
132	spotify:track:37erXXnh4mlWE7mdO6EYOp	Marília Mendonça	Ausência - Ao Vivo | Acústico	Som Livre	38	132	67	580584	37erXXnh4mlWE7mdO6EYOp
133	spotify:track:2srL4DYBekshpbprS6H0mO	1Kilo, Knust, Baviera	Deixe Me Ir - Acústico	1Kilo Rec	1	140	110	569465	2srL4DYBekshpbprS6H0mO
134	spotify:track:24wIxeVejXRhYJPrOFpJbg	Alex Sensation, Anitta, Luis Fonsi	Pa' Lante	JP Entertainment (Jorge Pino)	134	-1	1	569086	24wIxeVejXRhYJPrOFpJbg
135	spotify:track:22vgEDb5hykfaTwLuskFGD	Jonas Brothers	Sucker	Jonas Brothers Recording	46	139	17	568582	22vgEDb5hykfaTwLuskFGD
